node,latency
Conv_1,585.1736999999999
Relu_2,255.9483
MaxPool_3,171.1945
Conv_4,85.48219999999999
Relu_5,66.6712
Conv_6,308.6632
Relu_7,66.9915
Conv_8,266.5375
Conv_9,266.70259999999996
Add_10,383.8695
Relu_11,255.7647
Conv_12,257.9631
Relu_13,68.61030000000001
Conv_14,307.9812
Relu_15,67.14869999999999
Conv_16,265.1395
Add_17,383.8071
Relu_18,257.6054
Conv_19,258.963
Relu_20,67.2854
Conv_21,308.1293
Relu_22,66.9128
Conv_23,264.8352
Add_24,383.5452
Relu_25,255.632
Conv_26,473.7116
Relu_27,129.7704
Conv_28,584.4024000000001
Relu_29,35.4055
Conv_30,249.0014
Conv_31,475.563
Add_32,194.1661
Relu_33,129.8158
Conv_34,290.1324
Relu_35,35.4516
Conv_36,287.29879999999997
Relu_37,35.8339
Conv_38,249.3159
Add_39,193.5484
Relu_40,129.7906
Conv_41,289.47929999999997
Relu_42,35.5681
Conv_43,282.8335
Relu_44,35.3813
Conv_45,249.33589999999998
Add_46,194.12179999999998
Relu_47,130.1499
Conv_48,290.3191
Relu_49,35.533699999999996
Conv_50,285.8053
Relu_51,36.3082
Conv_52,249.505
Add_53,194.08610000000002
Relu_54,130.4497
Conv_55,512.7681
Relu_56,67.0144
Conv_57,600.7454
Relu_58,19.6415
Conv_59,255.80270000000002
Conv_60,514.3375
Add_61,98.9517
Relu_62,67.1541
Conv_63,269.541
Relu_64,19.6262
Conv_65,304.70840000000004
Relu_66,19.6474
Conv_67,249.011
Add_68,99.1511
Relu_69,66.74839999999999
Conv_70,270.49359999999996
Relu_71,19.717
Conv_72,305.32120000000003
Relu_73,19.7168
Conv_74,254.0379
Add_75,99.13510000000001
Relu_76,66.97739999999999
Conv_77,269.4628
Relu_78,19.7976
Conv_79,304.3526
Relu_80,19.5857
Conv_81,247.0573
Add_82,99.4114
Relu_83,66.8282
Conv_84,269.57
Relu_85,19.5951
Conv_86,304.8002
Relu_87,19.6636
Conv_88,254.7156
Add_89,99.2642
Relu_90,66.99430000000001
Conv_91,269.4491
Relu_92,19.8841
Conv_93,304.9194
Relu_94,19.5838
Conv_95,257.77729999999997
Add_96,99.7176
Relu_97,66.7572
Conv_98,589.7342
Relu_99,35.3146
Conv_100,649.0301999999999
Relu_101,7.6088000000000005
Conv_102,296.6544
Conv_103,556.2683000000001
Add_104,51.7352
Relu_105,35.551199999999994
Conv_106,291.4036
Relu_107,8.4398
Conv_108,494.074
Relu_109,8.0058
Conv_110,296.21840000000003
Add_111,51.8067
Relu_112,35.8513
Conv_113,291.46459999999996
Relu_114,7.5728
Conv_115,493.6614
Relu_116,7.7162
Conv_117,289.4088
Add_118,51.917300000000004
Relu_119,35.664300000000004
Conv_120,512.8332
Conv_121,269.05190000000005
Conv_122,170.59279999999998
Shape_123,11.8894
Gather_124,8.460899999999999
Shape_125,7.4153
Slice_128,7.4581
Cast_129,7.0918
Concat_130,11.7575
Resize_132,21.5102
Add_133,27.9911
Shape_134,7.1982
Gather_135,9.0457
Shape_136,6.7608999999999995
Slice_137,7.7714
Cast_138,7.0311
Concat_139,10.5984
Resize_140,76.0596
Add_141,99.0697
Conv_142,1019.8875
Conv_143,306.6367
Conv_144,155.7541
Conv_145,117.36189999999999
Conv_146,113.96589999999999
Conv_147,1038.4244
Reshape_149,70.74839999999999
TRTInstanceNormalization_152,121.0861
Shape_153,6.9447
Reshape_154,71.0255
Mul_155,68.5407
Add_156,69.119
Relu_157,66.9562
Conv_158,1016.3909
Reshape_159,70.7777
TRTInstanceNormalization_160,119.5319
Shape_161,7.6457
Reshape_162,70.7787
Mul_163,70.2584
Add_164,68.5813
Relu_165,69.2739
Conv_166,1029.7848000000001
Reshape_167,70.8165
TRTInstanceNormalization_168,118.8495
Shape_169,6.517600000000001
Reshape_170,70.9533
Mul_171,68.3266
Add_172,68.1178
Relu_173,67.2267
Conv_174,1020.0159
Reshape_175,70.8855
TRTInstanceNormalization_176,120.0008
Shape_177,8.251100000000001
Reshape_178,70.8386
Mul_179,68.414
Add_180,68.4918
Relu_181,67.2385
Conv_182,1026.1317
Reshape_183,70.9922
TRTInstanceNormalization_184,117.2804
Shape_185,7.8887
Reshape_186,71.2037
Mul_187,68.3989
Add_188,68.2387
Relu_189,66.9996
Conv_190,1044.6611
Reshape_191,72.7684
TRTInstanceNormalization_192,131.1145
Shape_193,7.221100000000001
Reshape_194,71.0948
Mul_195,68.324
Add_196,68.2512
Relu_197,67.0108
Conv_198,1022.9554
Reshape_199,70.8474
TRTInstanceNormalization_200,120.6764
Shape_201,7.312
Reshape_202,72.6881
Mul_203,68.2864
Add_204,68.0689
Relu_205,67.086
Conv_206,1017.3189
Reshape_207,70.73219999999999
TRTInstanceNormalization_208,119.7838
Shape_209,6.578600000000001
Reshape_210,71.0179
Mul_211,68.6203
Add_212,68.1535
Relu_213,67.1614
Conv_214,410.0406
Conv_215,411.56370000000004
Mul_216,20.9361
Cast_217,20.794900000000002
Conv_218,307.5668
Reshape_219,21.0649
TRTInstanceNormalization_220,63.558800000000005
Shape_221,6.5897
Reshape_222,20.9685
Mul_223,20.413400000000003
Add_224,20.646099999999997
Relu_225,20.061700000000002
Conv_226,308.8673
Reshape_227,21.0917
TRTInstanceNormalization_228,61.724199999999996
Shape_229,7.3415
Reshape_230,20.7333
Mul_231,20.6058
Add_232,20.665
Relu_233,19.3966
Conv_234,305.5275
Reshape_235,21.005200000000002
TRTInstanceNormalization_236,62.8961
Shape_237,7.5483
Reshape_238,20.8983
Mul_239,21.1403
Add_240,20.7027
Relu_241,19.45
Conv_242,306.1416
Reshape_243,20.913700000000002
TRTInstanceNormalization_244,61.5552
Shape_245,8.6313
