node,latency
Conv_1,770.5534
Relu_2,899.218
MaxPool_3,514.0837
Conv_4,322.09340000000003
Relu_5,448.04159999999996
Conv_6,892.9543000000001
Relu_7,446.8606
Conv_8,669.9528
Conv_9,542.4751
Add_10,1282.2784
Relu_11,890.7951999999999
Conv_12,643.7121999999999
Relu_13,446.0287
Conv_14,907.9376
Relu_15,449.0236
Conv_16,667.0234
Add_17,1280.1195
Relu_18,887.4975999999999
Conv_19,648.7801
Relu_20,446.97540000000004
Conv_21,909.9393
Relu_22,454.8112
Conv_23,668.5288
Add_24,1284.3272
Relu_25,889.4838000000001
Conv_26,883.6888
Relu_27,881.6929
Conv_28,707.5968
Relu_29,147.21329999999998
Conv_30,337.3664
Conv_31,452.6145
Add_32,669.3605
Relu_33,447.3245
Conv_34,319.3273
Relu_35,150.1894
Conv_36,451.2515
Relu_37,147.0105
Conv_38,327.74240000000003
Add_39,652.4934000000001
Relu_40,448.84520000000003
Conv_41,319.8733
Relu_42,145.8363
Conv_43,452.1816
Relu_44,146.561
Conv_45,326.7337
Add_46,639.8333
Relu_47,453.8124
Conv_48,319.60970000000003
Relu_49,146.3145
Conv_50,451.0434
Relu_51,145.7525
Conv_52,325.246
Add_53,638.0435
Relu_54,449.4815
Conv_55,561.0326
Relu_56,447.0811
Conv_57,421.23
Relu_58,15.3904
Conv_59,268.6379
Conv_60,312.6949
Add_61,324.3865
Relu_62,144.86010000000002
Conv_63,258.89320000000004
Relu_64,15.4698
Conv_65,243.0504
Relu_66,15.458
Conv_67,265.104
Add_68,326.3122
Relu_69,149.6981
Conv_70,260.681
Relu_71,15.4903
Conv_72,243.2097
Relu_73,15.5356
Conv_74,264.3393
Add_75,328.8551
Relu_76,148.06179999999998
Conv_77,260.14820000000003
Relu_78,15.3751
Conv_79,243.9063
Relu_80,15.339
Conv_81,264.66740000000004
Add_82,327.0301
Relu_83,147.1142
Conv_84,259.1494
Relu_85,15.2979
Conv_86,242.3609
Relu_87,15.5443
Conv_88,265.607
Add_89,326.11190000000005
Relu_90,148.8137
Conv_91,260.1194
Relu_92,14.8952
Conv_93,242.6721
Relu_94,15.5806
Conv_95,264.99690000000004
Add_96,333.10740000000004
Relu_97,155.3787
Conv_98,259.3933
Relu_99,14.667200000000001
Conv_100,241.9475
Relu_101,15.2695
Conv_102,266.5092
Add_103,330.17740000000003
Relu_104,156.0333
Conv_105,259.2339
Relu_106,15.4015
Conv_107,242.17870000000002
Relu_108,14.693700000000002
Conv_109,264.9103
Add_110,329.088
Relu_111,153.38
Conv_112,259.25939999999997
Relu_113,15.4434
Conv_114,241.0737
Relu_115,15.4671
Conv_116,266.51759999999996
Add_117,324.8064
Relu_118,155.2184
Conv_119,259.1582
Relu_120,15.438600000000001
Conv_121,242.856
Relu_122,15.4541
Conv_123,265.6081
Add_124,326.4555
Relu_125,154.81889999999999
Conv_126,259.4894
Relu_127,15.558
Conv_128,241.0433
Relu_129,14.8715
Conv_130,265.2526
Add_131,329.7156
Relu_132,157.5977
Conv_133,259.3915
Relu_134,15.4092
Conv_135,241.00420000000003
Relu_136,15.4955
Conv_137,264.90540000000004
Add_138,326.5615
Relu_139,154.42239999999998
Conv_140,259.8474
Relu_141,15.7406
Conv_142,240.9469
Relu_143,15.5379
Conv_144,264.1874
Add_145,329.07590000000005
Relu_146,156.42770000000002
Conv_147,260.13689999999997
Relu_148,15.2895
Conv_149,239.0548
Relu_150,15.273299999999999
Conv_151,264.4195
Add_152,328.949
Relu_153,156.25179999999997
Conv_154,260.1711
Relu_155,15.4964
Conv_156,241.78
Relu_157,15.4562
Conv_158,264.2756
Add_159,328.58509999999995
Relu_160,152.9155
Conv_161,259.5568
Relu_162,15.457799999999999
Conv_163,240.37529999999998
Relu_164,15.6691
Conv_165,263.91859999999997
Add_166,326.76890000000003
Relu_167,153.7346
Conv_168,258.8557
Relu_169,15.301
Conv_170,240.22310000000002
Relu_171,15.4508
Conv_172,263.74240000000003
Add_173,326.0052
Relu_174,153.522
Conv_175,257.8736
Relu_176,15.3898
Conv_177,239.7104
Relu_178,15.3463
Conv_179,263.3835
Add_180,329.9978
Relu_181,156.92020000000002
Conv_182,257.4429
Relu_183,15.4733
Conv_184,240.3322
Relu_185,15.4469
Conv_186,263.6481
Add_187,329.46040000000005
Relu_188,153.5876
Conv_189,257.5876
Relu_190,15.4714
Conv_191,239.12079999999997
Relu_192,15.5915
Conv_193,262.89259999999996
Add_194,325.78270000000003
Relu_195,153.56279999999998
Conv_196,258.51
Relu_197,14.655100000000001
Conv_198,239.6325
Relu_199,15.5985
Conv_200,263.1038
Add_201,327.6694
Relu_202,153.21460000000002
Conv_203,256.4076
Relu_204,15.3141
Conv_205,239.81779999999998
Relu_206,15.5005
Conv_207,261.3123
Add_208,319.88
Relu_209,151.90370000000001
Conv_210,257.4518
Relu_211,15.3934
Conv_212,241.0013
Relu_213,15.4764
Conv_214,263.8343
Add_215,328.6418
Relu_216,154.1382
Conv_217,555.5036
Relu_218,154.34529999999998
Conv_219,287.8155
Relu_220,9.1477
Conv_221,198.722
Conv_222,383.8923
Add_223,20.579099999999997
Relu_224,15.424299999999999
Conv_225,191.3999
Relu_226,9.174100000000001
Conv_227,109.9939
Relu_228,9.1476
Conv_229,208.0463
Add_230,20.659
Relu_231,15.3753
Conv_232,191.4623
Relu_233,9.241
Conv_234,109.2898
Relu_235,8.937
Conv_236,205.4389
Add_237,20.3461
Relu_238,15.486799999999999
Conv_239,319.7286
Conv_240,131.70479999999998
Conv_241,65.4195
Shape_242,7.282100000000001
Gather_243,10.4692
Shape_244,6.8518
Slice_247,7.602
Cast_248,7.2481
Concat_249,11.1259
Resize_251,11.1534
Add_252,11.6736
Shape_253,7.3532
Gather_254,10.477
Shape_255,7.1008000000000004
Slice_256,7.502
Cast_257,7.8453
Concat_258,11.203299999999999
Resize_259,42.9025
Add_260,322.4087
Conv_261,961.8028
Conv_262,217.92829999999998
Conv_263,88.70089999999999
Conv_264,72.6678
Conv_265,50.1588
Conv_266,956.6501999999999
Reshape_268,124.626
TRTInstanceNormalization_271,145.2397
Shape_272,7.0215
Reshape_273,123.2909
Mul_274,125.10910000000001
Add_275,127.6987
Relu_276,121.3352
Conv_277,927.7062
Reshape_278,123.31139999999999
TRTInstanceNormalization_279,143.11620000000002
Shape_280,7.2911
Reshape_281,123.1986
Mul_282,124.0564
Add_283,122.36330000000001
Relu_284,114.7745
Conv_285,929.5740999999999
Reshape_286,123.2769
TRTInstanceNormalization_287,143.772
Shape_288,7.3709
Reshape_289,124.0212
Mul_290,122.7946
Add_291,122.2139
Relu_292,118.23819999999999
Conv_293,931.3892
Reshape_294,124.26
TRTInstanceNormalization_295,141.9735
Shape_296,7.904
Reshape_297,123.6417
Mul_298,122.4649
Add_299,122.97319999999999
Relu_300,122.5617
Conv_301,957.086
Reshape_302,124.158
TRTInstanceNormalization_303,143.30870000000002
Shape_304,7.5222
Reshape_305,122.9327
Mul_306,123.1715
Add_307,121.9554
Relu_308,119.7077
Conv_309,931.9396999999999
Reshape_310,124.2167
TRTInstanceNormalization_311,141.8251
Shape_312,7.3438
Reshape_313,123.9385
Mul_314,122.3773
Add_315,122.9974
Relu_316,121.6968
Conv_317,932.2728000000001
Reshape_318,122.64710000000001
TRTInstanceNormalization_319,142.0081
Shape_320,7.3134
Reshape_321,123.7488
Mul_322,122.9097
Add_323,121.6352
Relu_324,122.86810000000001
Conv_325,932.6245
Reshape_326,124.0337
TRTInstanceNormalization_327,146.405
Shape_328,7.4162
Reshape_329,123.569
Mul_330,122.3804
Add_331,123.5915
Relu_332,116.79260000000001
Conv_333,597.6618000000001
Conv_334,591.2893
Mul_335,9.9512
Cast_336,9.636299999999999
Conv_337,218.32070000000002
Reshape_338,9.1842
TRTInstanceNormalization_339,43.2095
Shape_340,7.5949
Reshape_341,9.2432
Mul_342,10.0516
Add_343,10.1437
Relu_344,9.0543
Conv_345,210.0874
Reshape_346,9.2069
TRTInstanceNormalization_347,44.0979
Shape_348,7.3717
Reshape_349,9.1942
Mul_350,10.1305
Add_351,10.240200000000002
Relu_352,9.1748
Conv_353,210.1523
Reshape_354,9.1113
TRTInstanceNormalization_355,42.823800000000006
Shape_356,7.5521
Reshape_357,10.0658
Mul_358,10.0191
Add_359,10.16
Relu_360,8.7159
Conv_361,210.7575
Reshape_362,9.040299999999998
TRTInstanceNormalization_363,43.161300000000004
Shape_364,7.201
Reshape_365,9.215
Mul_366,10.0581
Add_367,10.144
Relu_368,9.0544
Conv_369,217.87220000000002
Reshape_370,9.2291
TRTInstanceNormalization_371,42.9134
Shape_372,7.408
Reshape_373,9.1944
Mul_374,10.1381
Add_375,10.1196
Relu_376,9.0566
Conv_377,210.8007
Reshape_378,9.109
TRTInstanceNormalization_379,42.8762
Shape_380,7.6562
Reshape_381,9.231200000000001
Mul_382,10.0907
Add_383,10.116700000000002
Relu_384,9.2272
Conv_385,209.63629999999998
Reshape_386,9.631
TRTInstanceNormalization_387,44.2141
Shape_388,7.505
Reshape_389,9.2657
Mul_390,10.136
Add_391,10.2379
Relu_392,8.943700000000002
Conv_393,210.0397
Reshape_394,8.9744
TRTInstanceNormalization_395,43.9452
Shape_396,7.614
Reshape_397,9.142700000000001
Mul_398,10.103299999999999
Add_399,10.1765
Relu_400,9.1424
Conv_401,97.5246
Conv_402,96.18589999999999
Mul_403,8.828899999999999
Cast_404,7.8133
Conv_405,87.521
Reshape_406,8.226799999999999
TRTInstanceNormalization_407,36.9735
Shape_408,7.271
Reshape_409,8.5329
Mul_410,7.8121
Add_411,7.873600000000001
Relu_412,7.1101
Conv_413,87.3477
Reshape_414,8.5397
TRTInstanceNormalization_415,38.1755
Shape_416,7.1979
Reshape_417,8.421100000000001
Mul_418,7.9947
Add_419,8.0095
Relu_420,7.030399999999999
Conv_421,87.4014
Reshape_422,8.5257
TRTInstanceNormalization_423,40.5807
Shape_424,7.3475
Reshape_425,8.3629
Mul_426,7.8527
Add_427,7.9388000000000005
Relu_428,7.038600000000001
Conv_429,87.4766
Reshape_430,9.8862
TRTInstanceNormalization_431,38.6024
Shape_432,7.16
Reshape_433,8.258299999999998
Mul_434,7.7213
Add_435,7.953399999999999
Relu_436,7.1808000000000005
Conv_437,87.5333
Reshape_438,8.3369
TRTInstanceNormalization_439,38.801
Shape_440,8.3401
Reshape_441,8.2651
Mul_442,7.871899999999999
Add_443,7.7719
Relu_444,7.0235
Conv_445,87.7329
