node,latency
Conv_1,2012.4493
Relu_2,1397.9176
MaxPool_3,945.4457
Conv_4,661.1225
Relu_5,699.8747
Conv_6,3754.335
Relu_7,699.3914
Conv_8,1697.2323999999999
Conv_9,1197.9331000000002
Add_10,2130.5243
Relu_11,1395.6642
Conv_12,1538.2153
Relu_13,699.5377
Conv_14,3783.1539
Relu_15,699.513
Conv_16,1687.3748
Add_17,2130.1464
Relu_18,1395.3668
Conv_19,1532.8031
Relu_20,699.5695999999999
Conv_21,3746.5953999999997
Relu_22,699.5654000000001
Conv_23,1687.3654
Add_24,2130.8996
Relu_25,1395.3286
Conv_26,3043.139
Relu_27,1395.7586999999999
Conv_28,1701.9875
Relu_29,351.8107
Conv_30,1541.736
Conv_31,1524.0233999999998
Add_32,1067.6867
Relu_33,699.7725
Conv_34,1440.6551000000002
Relu_35,351.52509999999995
Conv_36,1429.3223
Relu_37,352.4867
Conv_38,1512.1571999999999
Add_39,1068.0231
Relu_40,699.2198000000001
Conv_41,1439.5889
Relu_42,351.5855
Conv_43,1429.1721
Relu_44,351.77979999999997
Conv_45,1543.2633
Add_46,1067.6177
Relu_47,699.525
Conv_48,1442.0638999999999
Relu_49,351.56609999999995
Conv_50,1428.4381
Relu_51,351.6295
Conv_52,1515.3847
Add_53,1063.4888
Relu_54,699.453
Conv_55,2880.7907999999998
Relu_56,699.4465
Conv_57,1203.422
Relu_58,177.6668
Conv_59,1476.9775
Conv_60,1473.0576
Add_61,534.3299000000001
Relu_62,351.8422
Conv_63,1361.9735
Relu_64,177.5728
Conv_65,675.1198
Relu_66,179.4751
Conv_67,1474.1131
Add_68,534.2995
Relu_69,352.10659999999996
Conv_70,1363.6041
Relu_71,177.8735
Conv_72,673.7906999999999
Relu_73,177.7815
Conv_74,1475.963
Add_75,534.1661
Relu_76,351.50359999999995
Conv_77,1378.4135
Relu_78,177.4785
Conv_79,682.1844
Relu_80,177.6584
Conv_81,1459.2998
Add_82,534.3501
Relu_83,351.516
Conv_84,1378.155
Relu_85,178.4269
Conv_86,669.0138000000001
Relu_87,177.4987
Conv_88,1462.0493000000001
Add_89,534.211
Relu_90,351.69759999999997
