node,latency
Conv_1,1246.0141
Relu_2,856.8697
MaxPool_3,522.6415999999999
Conv_4,386.3635
Relu_5,430.04609999999997
Conv_6,1523.8906000000002
Relu_7,429.7186
Conv_8,1101.9639
Conv_9,628.518
Add_10,1230.6571000000001
Relu_11,855.9681999999999
Conv_12,989.8657
Relu_13,429.17920000000004
Conv_14,1405.5908
Relu_15,431.4202
Conv_16,1103.0874
Add_17,1229.7406
Relu_18,855.822
Conv_19,986.798
Relu_20,429.6353
Conv_21,1404.9097
Relu_22,431.2719
Conv_23,1099.7923999999998
Add_24,1229.9024
Relu_25,856.3598000000001
Conv_26,2181.8707000000004
Relu_27,861.7721
Conv_28,869.7057
Relu_29,217.3797
Conv_30,1000.1304
Conv_31,998.6324000000001
Add_32,616.0677
Relu_33,429.8857
Conv_34,930.0575
Relu_35,217.3998
Conv_36,815.8105
Relu_37,215.7671
Conv_38,981.9
Add_39,616.1041
Relu_40,436.4117
Conv_41,937.4086
Relu_42,215.96710000000002
Conv_43,813.5478
Relu_44,215.88410000000002
Conv_45,1017.7756999999999
Add_46,615.9327
Relu_47,429.265
Conv_48,952.5428
Relu_49,216.0641
Conv_50,806.3547
Relu_51,215.84629999999999
Conv_52,999.0839
Add_53,616.1675
Relu_54,429.4904
Conv_55,1816.2715
Relu_56,429.54879999999997
Conv_57,689.8811
Relu_58,109.7759
Conv_59,931.0376
Conv_60,946.078
Add_61,308.7131
Relu_62,216.0219
Conv_63,968.4788000000001
Relu_64,109.62589999999999
Conv_65,624.3842
Relu_66,109.6808
Conv_67,941.841
Add_68,309.3882
Relu_69,215.7558
Conv_70,920.4109
Relu_71,109.64110000000001
Conv_72,635.2616999999999
Relu_73,109.8395
Conv_74,948.0801
Add_75,309.3523
Relu_76,215.71370000000002
Conv_77,924.5606
Relu_78,109.665
Conv_79,635.8947
Relu_80,109.6947
Conv_81,925.8571999999999
Add_82,309.1802
Relu_83,215.8272
Conv_84,929.4933000000001
Relu_85,109.6575
Conv_86,634.5423000000001
Relu_87,109.6703
Conv_88,933.7538000000001
Add_89,309.3718
Relu_90,216.05370000000002
Conv_91,918.1439
Relu_92,109.56439999999999
Conv_93,637.1888
Relu_94,109.7748
Conv_95,932.2424
Add_96,309.6191
Relu_97,215.8619
Conv_98,946.8671999999999
Relu_99,109.81939999999999
Conv_100,636.1476
Relu_101,109.6605
Conv_102,960.2085
Add_103,309.5245
Relu_104,216.68570000000003
Conv_105,965.1605
Relu_106,110.6495
Conv_107,639.1074
Relu_108,109.455
Conv_109,934.0831
Add_110,309.6615
Relu_111,215.8628
Conv_112,919.7862
Relu_113,109.6882
Conv_114,619.8267
Relu_115,109.5744
Conv_116,930.5607
Add_117,309.61379999999997
Relu_118,215.8193
Conv_119,917.2076
Relu_120,109.4937
Conv_121,631.4308000000001
Relu_122,110.74680000000001
Conv_123,932.1567
Add_124,309.6449
Relu_125,215.696
Conv_126,939.1883
Relu_127,109.69669999999999
Conv_128,635.7527
Relu_129,109.65910000000001
Conv_130,932.9151999999999
Add_131,309.8583
Relu_132,215.95839999999998
