node,latency
Conv_1,587.1823
Relu_2,255.6788
MaxPool_3,171.5472
Conv_4,142.1277
Relu_5,129.99460000000002
Conv_6,696.158
Relu_7,129.8097
Conv_8,480.9246
Conv_9,265.272
Add_10,384.0963
Relu_11,255.5916
Conv_12,477.4133
Relu_13,130.1668
Conv_14,698.0856
Relu_15,130.0442
Conv_16,477.814
Add_17,383.8494
Relu_18,255.758
Conv_19,474.7737
Relu_20,130.005
Conv_21,696.2463
Relu_22,130.0811
Conv_23,474.9867
Add_24,383.76259999999996
Relu_25,255.7924
Conv_26,917.0854
Relu_27,255.6576
Conv_28,520.6813
Relu_29,67.0355
Conv_30,475.35290000000003
Conv_31,476.3895
Add_32,197.25820000000002
Relu_33,129.9077
Conv_34,514.2633
Relu_35,66.9734
Conv_36,467.6797
Relu_37,66.7997
Conv_38,474.8378
Add_39,193.727
Relu_40,129.8016
Conv_41,512.5617
Relu_42,66.67089999999999
Conv_43,467.27590000000004
Relu_44,66.9401
Conv_45,474.60659999999996
Add_46,193.5478
Relu_47,130.1182
Conv_48,513.006
Relu_49,67.8278
Conv_50,468.1103
Relu_51,67.16669999999999
Conv_52,475.2983
Add_53,194.8485
Relu_54,130.1491
Conv_55,919.4418000000001
Relu_56,130.081
Conv_57,352.961
Relu_58,35.308
Conv_59,512.7513
Conv_60,514.1019
Add_61,100.2174
Relu_62,67.34410000000001
Conv_63,537.3203000000001
Relu_64,35.616099999999996
Conv_65,191.825
Relu_66,36.9551
Conv_67,512.7605
Add_68,99.37480000000001
Relu_69,67.18169999999999
Conv_70,537.3015
Relu_71,35.404
Conv_72,192.8713
Relu_73,35.3044
Conv_74,512.5445
Add_75,99.1663
Relu_76,67.0861
Conv_77,589.7093000000001
Relu_78,36.0403
Conv_79,195.2011
Relu_80,35.8411
Conv_81,512.5849000000001
Add_82,99.3582
Relu_83,68.2248
Conv_84,554.8824000000001
Relu_85,35.8524
Conv_86,191.6994
Relu_87,35.353699999999996
Conv_88,513.0814
Add_89,99.7017
Relu_90,67.2377
Conv_91,537.3543000000001
Relu_92,35.3251
Conv_93,192.5155
Relu_94,36.280300000000004
Conv_95,512.677
Add_96,99.3593
Relu_97,66.9786
Conv_98,555.0116999999999
Relu_99,35.6611
Conv_100,193.7028
Relu_101,35.4655
Conv_102,513.6985
Add_103,99.1293
Relu_104,68.846
Conv_105,555.0209
Relu_106,35.338
Conv_107,192.86229999999998
Relu_108,35.432900000000004
Conv_109,512.9970999999999
Add_110,99.2411
Relu_111,67.4073
Conv_112,537.2247
Relu_113,35.4377
Conv_114,192.8932
Relu_115,35.4605
Conv_116,516.0134
Add_117,99.2269
Relu_118,66.9399
Conv_119,540.6276
Relu_120,36.0455
Conv_121,193.1117
Relu_122,35.3933
Conv_123,512.6802
Add_124,99.1323
Relu_125,67.8048
Conv_126,537.5303
Relu_127,35.4511
Conv_128,192.4448
Relu_129,35.3795
Conv_130,513.8765999999999
Add_131,99.292
Relu_132,66.94189999999999
Conv_133,537.4576
Relu_134,35.8784
Conv_135,193.2181
Relu_136,35.6609
Conv_137,512.6095
Add_138,99.2575
Relu_139,66.9333
Conv_140,588.6178000000001
Relu_141,35.380900000000004
Conv_142,192.6951
Relu_143,35.375699999999995
Conv_144,512.6162
Add_145,99.2801
Relu_146,67.033
Conv_147,536.9111
Relu_148,36.1494
Conv_149,192.5463
Relu_150,35.5825
Conv_151,512.9830999999999
Add_152,99.244
Relu_153,66.9818
Conv_154,537.1758000000001
Relu_155,35.2021
Conv_156,192.4465
Relu_157,35.3249
Conv_158,512.432
Add_159,99.21589999999999
Relu_160,66.81710000000001
Conv_161,537.1855
Relu_162,35.4868
Conv_163,192.6156
Relu_164,35.6284
Conv_165,512.276
Add_166,99.4205
Relu_167,67.248
Conv_168,555.1216999999999
Relu_169,35.41
Conv_170,192.7836
Relu_171,35.3489
Conv_172,512.5189
Add_173,99.18169999999999
Relu_174,66.9328
Conv_175,537.1631
Relu_176,35.3
Conv_177,192.5065
Relu_178,35.738
Conv_179,512.761
Add_180,100.4323
Relu_181,67.1055
Conv_182,558.6517
Relu_183,35.4291
Conv_184,193.7886
Relu_185,35.3376
Conv_186,513.0359
Add_187,101.2218
Relu_188,67.0095
Conv_189,572.5543
Relu_190,35.5065
Conv_191,192.7909
Relu_192,35.3838
Conv_193,512.5599
Add_194,99.287
Relu_195,66.93769999999999
Conv_196,541.0193
Relu_197,35.3543
Conv_198,194.40220000000002
Relu_199,35.2911
Conv_200,512.8373
Add_201,99.153
Relu_202,67.44510000000001
Conv_203,537.6363
Relu_204,35.5871
Conv_205,192.8016
Relu_206,35.522
Conv_207,513.6874
Add_208,99.376
Relu_209,67.08460000000001
Conv_210,554.3318
Relu_211,35.548300000000005
Conv_212,193.4856
Relu_213,35.200900000000004
Conv_214,513.0287
Add_215,99.296
Relu_216,66.9075
Conv_217,987.2271
Relu_218,67.0093
Conv_219,183.8557
Relu_220,19.760099999999998
Conv_221,530.2673000000001
Conv_222,556.3837
Add_223,54.9792
Relu_224,35.344699999999996
Conv_225,527.0083000000001
Relu_226,19.6745
Conv_227,129.536
Relu_228,19.4764
Conv_229,530.5634
Add_230,51.8135
Relu_231,35.1147
