node,latency
Conv_0,37.289300000000004
Relu_1,19.0581
Conv_2,148.21370000000002
Relu_3,18.1067
Conv_4,263.064
Relu_5,269.18670000000003
MaxPool_6,32.991800000000005
Conv_7,24.098200000000002
Relu_8,10.4443
Conv_9,126.3931
Relu_10,10.963299999999998
Conv_11,160.9966
Conv_12,161.1111
Add_13,429.7235
Relu_14,268.185
Conv_15,56.4393
Relu_16,11.0227
Conv_17,126.23830000000001
Relu_18,11.0172
Conv_19,160.9314
Add_20,432.69059999999996
Relu_21,267.8983
Conv_22,55.684
Relu_23,11.838899999999999
Conv_24,124.9705
Relu_25,10.8826
Conv_26,160.4875
Add_27,429.8184
Relu_28,268.0514
Conv_29,111.6203
Relu_30,19.6692
Conv_31,112.7102
Relu_32,7.3886
Conv_33,54.1784
Conv_34,107.5485
Add_35,58.907300000000006
Relu_36,19.169700000000002
Conv_37,63.106199999999994
Relu_38,7.4068000000000005
Conv_39,103.23039999999999
Relu_40,7.5005
Conv_41,53.519400000000005
Add_42,58.8715
Relu_43,18.9589
Conv_44,63.3293
Relu_45,7.2678
Conv_46,101.8
Relu_47,7.3135
Conv_48,53.3454
Add_49,58.7831
Relu_50,19.096400000000003
Conv_51,63.106199999999994
Relu_52,7.429600000000001
Conv_53,103.2529
Relu_54,7.368399999999999
Conv_55,53.6594
Add_56,64.12519999999999
Relu_57,18.2707
Conv_58,134.341
Relu_59,10.835700000000001
Conv_60,306.9486
Relu_61,10.5658
Conv_62,191.9171
Conv_63,373.7217
Add_64,404.1307
Relu_65,269.9312
Conv_66,180.7745
Relu_67,10.3195
Conv_68,303.4812
Relu_69,10.8672
Conv_70,188.9352
Add_71,406.70640000000003
Relu_72,267.18440000000004
Conv_73,180.5122
Relu_74,11.1069
Conv_75,301.8125
Relu_76,10.9171
Conv_77,189.5686
Add_78,404.16240000000005
Relu_79,269.1805
Conv_80,181.4153
Relu_81,11.0286
Conv_82,283.436
Relu_83,10.7071
Conv_84,190.0122
Add_85,404.5767
Relu_86,271.6495
Conv_87,178.98170000000002
Relu_88,10.5618
Conv_89,284.5986
Relu_90,10.928
Conv_91,189.91070000000002
Add_92,404.5067
Relu_93,268.16240000000005
Conv_94,181.9966
Relu_95,10.893799999999999
Conv_96,296.8385
Relu_97,11.0003
Conv_98,190.0788
Add_99,430.815
Relu_100,269.3364
Conv_101,181.2434
Relu_102,11.049700000000001
Conv_103,296.48920000000004
Relu_104,10.9306
Conv_105,189.722
Add_106,432.64590000000004
Relu_107,268.9156
Conv_108,183.4038
Relu_109,10.8704
Conv_110,281.7257
Relu_111,10.7576
Conv_112,183.56560000000002
Add_113,407.0571
Relu_114,268.2739
Conv_115,183.7899
Relu_116,10.8025
Conv_117,305.5749
Relu_118,10.7455
Conv_119,184.0013
Add_120,430.66240000000005
Relu_121,268.0742
Conv_122,181.32029999999997
Relu_123,10.984200000000001
Conv_124,298.0135
Relu_125,11.0257
Conv_126,183.3194
Add_127,412.6329
Relu_128,270.5439
Conv_129,181.51870000000002
Relu_130,10.7775
Conv_131,293.59090000000003
Relu_132,10.2644
Conv_133,183.9016
Add_134,404.7333
Relu_135,270.1974
Conv_136,182.01139999999998
Relu_137,11.209100000000001
Conv_138,290.4902
Relu_139,10.713299999999998
Conv_140,184.53179999999998
Add_141,410.3048
Relu_142,267.421
Conv_143,183.7751
Relu_144,10.8697
Conv_145,297.5355
Relu_146,10.7494
Conv_147,184.0034
Add_148,424.0671
Relu_149,268.803
Conv_150,181.1352
Relu_151,10.935799999999999
Conv_152,290.3001
Relu_153,10.4589
Conv_154,183.3467
Add_155,404.65290000000005
Relu_156,271.2907
Conv_157,181.607
Relu_158,10.957799999999999
Conv_159,281.464
Relu_160,10.7246
Conv_161,184.42370000000003
Add_162,419.7359
Relu_163,268.69590000000005
Conv_164,186.271
Relu_165,10.8907
Conv_166,288.11629999999997
Relu_167,10.9107
Conv_168,181.50379999999998
Add_169,417.2915
Relu_170,266.34209999999996
Conv_171,183.2337
Relu_172,12.546299999999999
Conv_173,294.5703
Relu_174,10.8002
Conv_175,180.5591
Add_176,418.39259999999996
Relu_177,271.67609999999996
Conv_178,183.6826
Relu_179,10.761700000000001
Conv_180,288.06640000000004
Relu_181,10.832799999999999
Conv_182,179.2693
Add_183,409.99129999999997
Relu_184,266.75640000000004
Conv_185,180.49360000000001
Relu_186,10.7574
Conv_187,287.1657
Relu_188,10.7856
Conv_189,180.1293
Add_190,414.6809
Relu_191,269.58529999999996
Conv_192,183.4736
Relu_193,10.8859
Conv_194,294.0989
Relu_195,11.0196
Conv_196,178.1403
Add_197,431.8576
Relu_198,270.9467
Conv_199,181.8253
Relu_200,10.38
Conv_201,277.47659999999996
Relu_202,10.867700000000001
Conv_203,178.2526
Add_204,419.9088
Relu_205,266.411
Conv_206,180.0641
Relu_207,10.8327
Conv_208,279.6201
Relu_209,11.071200000000001
Conv_210,180.94979999999998
Add_211,407.22490000000005
Relu_212,269.4232
Conv_213,180.1103
Relu_214,11.2855
Conv_215,282.1191
Relu_216,10.826799999999999
Conv_217,178.36010000000002
Add_218,405.0723
Relu_219,269.8501
Conv_220,373.5802
Relu_221,19.2539
Conv_222,1049.0965
Relu_223,18.9485
Conv_224,643.5643
Conv_225,1239.4527
Add_226,808.3433
Relu_227,570.8896
Conv_228,657.2613
Relu_229,19.0555
Conv_230,1049.5064
Relu_231,18.938
Conv_232,644.9908
Add_233,804.7601999999999
Relu_234,570.2404
Conv_235,654.2859
Relu_236,19.019099999999998
Conv_237,1047.0541
Relu_238,19.0115
Conv_239,638.5339
Add_240,802.4859
Relu_241,567.919
Conv_242,5251.3854
Relu_243,18.8474
Shape_244,7.5795
Gather_246,10.181799999999999
Gather_248,8.8188
Unsqueeze_249,7.9115
Unsqueeze_250,8.917200000000001
Concat_251,25.7219
Reshape_252,19.1398
Transpose_253,66.02080000000001
Concat_254,19.3734
Reshape_255,19.186799999999998
Shape_256,7.1371
Gather_257,9.2841
Conv_258,99.5465
Relu_259,11.203299999999999
Conv_260,56.336400000000005
Relu_261,10.941
Shape_262,6.941
Gather_263,9.4402
Gather_264,9.2823
Unsqueeze_265,8.1128
Unsqueeze_266,7.9743
Concat_267,15.1601
Reshape_268,10.6735
Transpose_269,31.78
Conv_270,101.7141
Relu_271,10.946299999999999
Conv_272,54.536
Relu_273,10.46
Conv_274,192.9501
Shape_275,7.588100000000001
Gather_276,9.3859
Gather_277,9.4604
Unsqueeze_278,7.9568
Unsqueeze_279,8.9694
Concat_280,15.9367
Reshape_281,10.728
Shape_282,6.7827
Gather_283,9.437299999999999
Gather_284,8.9359
Unsqueeze_285,8.8681
Unsqueeze_286,8.0501
Concat_287,15.9378
Reshape_288,18.9372
Transpose_289,60.405800000000006
MatMul_290,15.261
Mul_292,7.1453999999999995
Softmax_293,9.7464
MatMul_294,40.0191
Transpose_295,44.3955
Gather_297,8.9178
Gather_299,9.4535
Unsqueeze_300,7.9399
Unsqueeze_301,8.0407
Unsqueeze_302,7.949199999999999
Concat_303,19.189
Reshape_304,18.953599999999998
Conv_305,192.6842
Relu_306,19.7574
Concat_307,24.786
Reshape_308,18.889200000000002
Transpose_309,64.3149
Concat_310,20.1002
Reshape_311,18.7301
Shape_312,7.1387
Gather_313,10.5466
Conv_314,99.0804
Relu_315,10.772
Conv_316,54.103
Relu_317,10.7607
Shape_318,6.9942
Gather_319,9.249600000000001
Gather_320,9.5007
Unsqueeze_321,7.9523
Unsqueeze_322,8.0212
Concat_323,14.9264
Reshape_324,10.6998
Transpose_325,15.981399999999999
Conv_326,99.2863
Relu_327,10.888399999999999
Conv_328,55.7004
Relu_329,10.7724
Conv_330,191.297
Shape_331,6.7216000000000005
Gather_332,9.3741
Gather_333,9.3771
Unsqueeze_334,8.1453
Unsqueeze_335,7.9213000000000005
Concat_336,15.0574
Reshape_337,10.647
Shape_338,7.4168
Gather_339,10.4921
Gather_340,9.3092
Unsqueeze_341,7.9799
Unsqueeze_342,8.0975
Concat_343,14.880600000000001
Reshape_344,18.981099999999998
Transpose_345,28.262900000000002
MatMul_346,20.1204
Mul_347,7.0963
Softmax_348,17.0171
MatMul_349,29.6967
Transpose_350,28.3324
Gather_351,8.811
Gather_352,9.371
Unsqueeze_353,8.1635
Unsqueeze_354,8.0215
Unsqueeze_355,7.9914
Concat_356,18.4617
Reshape_357,18.989
Conv_358,192.8973
Relu_359,18.7588
Concat_360,25.8395
Reshape_361,17.8158
Transpose_362,59.7468
Concat_363,18.0338
Reshape_364,18.88
Concat_365,261.9961
Conv_366,373.3676
Relu_367,19.0877
Conv_368,31.8154
Shape_369,8.3845
Slice_372,8.6986
Concat_373,11.856
Resize_375,132.8698
ArgMax_376,272.2824
