node,latency
Conv_0,202.31789999999998
Relu_1,226.06429999999997
Conv_2,594.8426
Relu_3,226.3224
Conv_4,940.3073
Relu_5,449.0771
MaxPool_6,306.05129999999997
Conv_7,142.7152
Relu_8,115.96860000000001
Conv_9,327.32779999999997
Relu_10,115.106
Conv_11,384.27729999999997
Conv_12,382.7932
Add_13,682.0577
Relu_14,449.04659999999996
Conv_15,332.9307
Relu_16,115.1375
Conv_17,327.82959999999997
Relu_18,115.0887
Conv_19,383.3818
Add_20,682.3081
Relu_21,449.1764
Conv_22,332.5212
Relu_23,114.9615
Conv_24,327.7869
Relu_25,115.0595
Conv_26,383.8825
Add_27,684.7787
Relu_28,449.1701
Conv_29,507.291
Relu_30,226.317
Conv_31,568.9598000000001
Relu_32,59.6021
Conv_33,283.6793
Conv_34,504.6626
Add_35,343.0339
Relu_36,226.5552
Conv_37,263.7915
Relu_38,59.4511
Conv_39,289.3854
Relu_40,59.4555
Conv_41,283.91209999999995
Add_42,343.0324
Relu_43,226.3849
Conv_44,262.9908
Relu_45,59.3946
Conv_46,289.2319
Relu_47,59.4235
Conv_48,284.184
Add_49,344.0097
Relu_50,226.24470000000002
Conv_51,263.2141
Relu_52,59.5025
Conv_53,288.9497
Relu_54,59.370400000000004
Conv_55,285.1288
Add_56,342.8553
Relu_57,226.35060000000001
Conv_58,506.7543
Relu_59,114.97
Conv_60,1009.5136
Relu_61,115.046
Conv_62,984.1999000000001
Conv_63,1889.9416
Add_64,682.8006
Relu_65,450.6034
Conv_66,1007.4246999999999
Relu_67,115.1177
Conv_68,2204.0982000000004
Relu_69,115.0383
Conv_70,986.3516
Add_71,683.4497
Relu_72,449.1595
Conv_73,984.2033
Relu_74,114.957
Conv_75,2183.7896
Relu_76,115.1246
Conv_77,1012.8894
Add_78,682.266
Relu_79,449.8927
Conv_80,1003.7207
Relu_81,114.9477
Conv_82,2169.0508999999997
Relu_83,115.2025
Conv_84,1011.2946
Add_85,682.4812
Relu_86,449.0308
Conv_87,996.0500999999999
Relu_88,115.0637
Conv_89,2153.465
Relu_90,115.05510000000001
Conv_91,984.8851
Add_92,683.2186999999999
Relu_93,449.0938
Conv_94,994.015
Relu_95,115.0274
Conv_96,2302.2326000000003
Relu_97,115.08619999999999
Conv_98,1014.5686999999999
Add_99,682.3998
Relu_100,449.2807
Conv_101,1013.0443
Relu_102,114.985
Conv_103,2150.6513999999997
Relu_104,115.0948
Conv_105,984.7466
Add_106,683.7432
Relu_107,449.1917
Conv_108,998.644
Relu_109,115.14869999999999
Conv_110,2169.5502
Relu_111,115.8
Conv_112,998.3276
Add_113,683.188
Relu_114,449.35220000000004
Conv_115,1008.6514
Relu_116,114.997
Conv_117,2172.987
Relu_118,114.9687
Conv_119,996.0607
Add_120,682.612
Relu_121,449.0292
Conv_122,1001.0569
Relu_123,115.0042
Conv_124,2236.8929
Relu_125,115.0453
Conv_126,997.2601999999999
Add_127,682.3698
Relu_128,450.0053
Conv_129,1041.2239
Relu_130,115.152
Conv_131,2179.1696
Relu_132,115.0231
Conv_133,1017.5055
Add_134,682.2498
Relu_135,449.0227
Conv_136,993.1101
Relu_137,115.0155
Conv_138,2174.8786
Relu_139,114.8861
Conv_140,983.7684
Add_141,683.6342
Relu_142,449.1972
Conv_143,997.9606
Relu_144,115.1447
Conv_145,2184.612
Relu_146,115.11280000000001
Conv_147,996.9338
Add_148,682.3901999999999
Relu_149,452.4645
Conv_150,976.7125
Relu_151,115.43039999999999
Conv_152,2138.3811
Relu_153,115.0262
Conv_154,984.2759
Add_155,682.812
Relu_156,448.96229999999997
Conv_157,997.706
Relu_158,115.0188
Conv_159,2151.8597999999997
Relu_160,115.00410000000001
Conv_161,1000.7061
Add_162,682.8559
Relu_163,448.90409999999997
Conv_164,983.9105
Relu_165,115.0561
Conv_166,2179.782
Relu_167,115.0097
Conv_168,985.8671999999999
Add_169,683.3102
Relu_170,449.107
Conv_171,1011.2739
Relu_172,114.95389999999999
Conv_173,2169.6691
Relu_174,114.9975
Conv_175,990.4211
Add_176,682.4861999999999
Relu_177,449.1107
Conv_178,1002.4263000000001
Relu_179,114.971
Conv_180,2157.9991
Relu_181,114.972
Conv_182,998.7782
Add_183,682.5545
Relu_184,448.9972
Conv_185,974.4726999999999
Relu_186,115.0255
Conv_187,2165.0148
Relu_188,114.9134
Conv_189,997.1095
Add_190,682.8333
Relu_191,450.99240000000003
