node,latency
Conv_0,135.3135
Relu_1,137.8319
Conv_2,415.4814
Relu_3,139.7423
Conv_4,682.3951
Relu_5,276.0018
MaxPool_6,167.0242
Conv_7,83.1455
Relu_8,71.40169999999999
Conv_9,278.5117
Relu_10,71.2444
Conv_11,207.9565
Conv_12,210.3974
Add_13,396.4232
Relu_14,275.3327
Conv_15,204.5709
Relu_16,71.2713
Conv_17,280.5864
Relu_18,71.3341
Conv_19,207.27120000000002
Add_20,396.342
Relu_21,275.4335
Conv_22,203.5822
Relu_23,71.2911
Conv_24,280.5919
Relu_25,71.1436
Conv_26,208.4845
Add_27,397.9842
Relu_28,275.4835
Conv_29,356.4028
Relu_30,139.5469
Conv_31,416.1325
Relu_32,36.637800000000006
Conv_33,184.37179999999998
Conv_34,351.7315
Add_35,198.6209
Relu_36,139.19729999999998
Conv_37,190.9531
Relu_38,36.8212
Conv_39,254.898
Relu_40,36.8224
Conv_41,182.7728
Add_42,198.73520000000002
Relu_43,139.3629
Conv_44,194.5195
Relu_45,37.8183
Conv_46,250.307
Relu_47,36.8359
Conv_48,184.7502
Add_49,198.7628
Relu_50,139.32760000000002
Conv_51,195.6229
Relu_52,36.7767
Conv_53,251.1778
Relu_54,36.6215
Conv_55,182.91320000000002
Add_56,199.5109
Relu_57,139.0924
Conv_58,366.8333
Relu_59,71.1065
Conv_60,899.8536
Relu_61,71.735
Conv_62,664.2556
Conv_63,1202.7088
Add_64,394.8618
Relu_65,275.1622
Conv_66,710.3307
Relu_67,71.1634
Conv_68,1579.7075
Relu_69,70.9655
Conv_70,651.0013
Add_71,394.3266
Relu_72,275.8355
Conv_73,711.7593
Relu_74,70.9694
Conv_75,1655.9673
Relu_76,70.9808
Conv_77,655.0846
Add_78,396.30159999999995
Relu_79,275.46040000000005
Conv_80,708.8231999999999
Relu_81,71.1942
Conv_82,1614.1581
Relu_83,70.8029
Conv_84,656.0855
Add_85,395.0496
Relu_86,276.18559999999997
Conv_87,708.402
Relu_88,71.2368
Conv_89,1493.8662
Relu_90,71.002
Conv_91,657.285
Add_92,394.5498
Relu_93,276.73740000000004
Conv_94,703.9378
Relu_95,73.1773
Conv_96,1513.6941000000002
Relu_97,70.9767
Conv_98,654.3349000000001
Add_99,394.91909999999996
Relu_100,276.111
Conv_101,709.5459000000001
Relu_102,71.37989999999999
Conv_103,1528.3201999999999
Relu_104,70.8844
Conv_105,656.6213
Add_106,394.5262
Relu_107,275.4
Conv_108,711.2685
Relu_109,71.205
Conv_110,1542.9493
Relu_111,71.4439
Conv_112,654.3702
Add_113,394.75870000000003
Relu_114,275.8679
Conv_115,709.0884
Relu_116,71.4434
Conv_117,1592.2053
Relu_118,71.6599
Conv_119,651.9417
Add_120,394.6372
Relu_121,276.0512
Conv_122,707.1715
Relu_123,71.3609
Conv_124,1631.2729
Relu_125,71.25389999999999
Conv_126,652.4633
Add_127,395.1536
Relu_128,276.0843
Conv_129,718.5006999999999
Relu_130,71.36630000000001
Conv_131,1578.68
Relu_132,71.3307
Conv_133,653.0722
Add_134,394.496
Relu_135,275.76890000000003
Conv_136,704.7520999999999
Relu_137,71.2908
Conv_138,1513.9288000000001
Relu_139,71.593
Conv_140,654.477
Add_141,395.0099
Relu_142,275.9435
Conv_143,708.2715
Relu_144,71.3133
Conv_145,1655.7016
Relu_146,71.3337
Conv_147,661.9081
Add_148,394.5742
Relu_149,275.9018
Conv_150,711.3816999999999
Relu_151,71.17989999999999
Conv_152,1667.4206000000001
Relu_153,71.3989
Conv_154,656.8152
Add_155,394.6975
Relu_156,275.9428
Conv_157,704.1691
Relu_158,71.53389999999999
Conv_159,1596.742
Relu_160,72.17269999999999
Conv_161,651.5764
Add_162,394.2797
Relu_163,281.1972
Conv_164,705.0711
Relu_165,71.13969999999999
Conv_166,1612.4428
Relu_167,71.25280000000001
Conv_168,656.9027
Add_169,395.1685
Relu_170,275.7727
Conv_171,704.4639
Relu_172,71.554
Conv_173,1547.6168
Relu_174,71.3798
Conv_175,655.3685
Add_176,394.5953
Relu_177,276.1405
Conv_178,701.0912
Relu_179,71.849
Conv_180,1580.721
Relu_181,71.4518
Conv_182,650.2439
Add_183,394.97540000000004
Relu_184,275.6606
Conv_185,709.3777
Relu_186,71.3035
Conv_187,1611.2855
Relu_188,71.3143
Conv_189,667.7337
Add_190,394.7736
Relu_191,275.5625
Conv_192,707.9345
Relu_193,71.47330000000001
Conv_194,1614.7087
