node,latency
Conv_0,45.375099999999996
Relu_1,44.3083
Conv_2,115.6426
Relu_3,44.1248
Conv_4,226.6093
Relu_5,84.6512
MaxPool_6,59.0055
Conv_7,36.7225
Relu_8,23.7739
Conv_9,104.6705
Relu_10,23.664
Conv_11,94.9635
Conv_12,93.8802
Add_13,125.36919999999999
Relu_14,84.7698
Conv_15,102.09819999999999
Relu_16,23.650599999999997
Conv_17,104.8732
Relu_18,23.8277
Conv_19,94.0323
Add_20,125.7033
Relu_21,84.6795
Conv_22,101.71310000000001
Relu_23,23.7901
Conv_24,105.0926
Relu_25,23.6878
Conv_26,93.9542
Add_27,125.2981
Relu_28,84.6713
Conv_29,171.0634
Relu_30,44.392
Conv_31,205.9596
Relu_32,11.8736
Conv_33,93.2529
Conv_34,168.466
Add_35,64.9963
Relu_36,44.2864
Conv_37,96.8407
Relu_38,11.9672
Conv_39,109.0515
Relu_40,11.963700000000001
Conv_41,91.48780000000001
Add_42,65.0389
Relu_43,44.266400000000004
Conv_44,97.03739999999999
Relu_45,11.8721
Conv_46,109.0547
Relu_47,11.9643
Conv_48,92.3095
Add_49,64.9115
Relu_50,44.8302
Conv_51,96.7671
Relu_52,12.1365
Conv_53,108.9032
Relu_54,11.862200000000001
Conv_55,91.91369999999999
Add_56,64.6425
Relu_57,44.6939
Conv_58,184.7561
Relu_59,23.8586
Conv_60,354.62170000000003
Relu_61,23.575400000000002
Conv_62,317.2004
Conv_63,689.754
Add_64,125.9204
Relu_65,84.9994
Conv_66,356.8112
Relu_67,23.7047
Conv_68,759.6223
Relu_69,23.7521
Conv_70,314.2967
Add_71,125.99210000000001
Relu_72,84.86030000000001
Conv_73,356.2939
Relu_74,23.7449
Conv_75,767.1993
Relu_76,23.8012
Conv_77,309.6126
Add_78,125.7017
Relu_79,84.79289999999999
Conv_80,355.8917
Relu_81,23.6965
Conv_82,759.4683
Relu_83,23.834799999999998
Conv_84,309.6955
Add_85,125.8908
Relu_86,84.7744
Conv_87,355.9438
Relu_88,23.622
Conv_89,750.7324
Relu_90,23.668
Conv_91,315.47290000000004
Add_92,126.39160000000001
Relu_93,84.6197
Conv_94,356.0385
Relu_95,23.670099999999998
Conv_96,778.5387
Relu_97,23.7896
Conv_98,315.0811
Add_99,127.4907
Relu_100,84.6369
Conv_101,357.10970000000003
Relu_102,23.8967
Conv_103,759.7601
Relu_104,23.751
Conv_105,313.4333
Add_106,125.62910000000001
Relu_107,84.842
Conv_108,356.4434
Relu_109,23.6888
Conv_110,751.5486999999999
Relu_111,23.823400000000003
Conv_112,311.2017
Add_113,125.1242
Relu_114,84.5877
Conv_115,355.8588
Relu_116,23.852400000000003
Conv_117,760.0034
Relu_118,23.7215
Conv_119,309.1832
Add_120,124.99010000000001
Relu_121,84.571
Conv_122,355.8927
Relu_123,23.797
Conv_124,757.3881
Relu_125,24.378700000000002
Conv_126,311.6346
Add_127,125.2595
Relu_128,84.73089999999999
Conv_129,356.0881
Relu_130,23.873099999999997
Conv_131,759.0718
Relu_132,24.375799999999998
Conv_133,311.209
Add_134,125.2467
Relu_135,84.6309
Conv_136,356.1458
Relu_137,23.658099999999997
Conv_138,758.7699
Relu_139,24.9922
Conv_140,309.76259999999996
Add_141,125.12639999999999
Relu_142,84.65660000000001
Conv_143,356.28909999999996
Relu_144,23.825599999999998
Conv_145,759.4178
Relu_146,23.8808
Conv_147,311.786
Add_148,124.9555
Relu_149,86.49
Conv_150,356.52509999999995
Relu_151,23.6893
Conv_152,751.0359
Relu_153,23.9709
Conv_154,312.934
Add_155,125.2466
Relu_156,84.89710000000001
Conv_157,356.0634
Relu_158,23.7963
Conv_159,767.3388
Relu_160,23.8506
Conv_161,312.3752
Add_162,125.061
Relu_163,84.7337
Conv_164,356.1757
Relu_165,23.694200000000002
Conv_166,787.4101999999999
Relu_167,24.0305
Conv_168,311.4177
Add_169,125.2447
Relu_170,84.6452
Conv_171,355.9712
Relu_172,23.8658
Conv_173,775.5671
Relu_174,23.8934
Conv_175,311.1177
Add_176,125.70230000000001
Relu_177,84.5751
Conv_178,356.45640000000003
Relu_179,23.8443
Conv_180,752.0035
Relu_181,23.4907
Conv_182,311.5331
Add_183,125.24560000000001
Relu_184,84.8413
Conv_185,355.883
Relu_186,23.8123
Conv_187,766.8281999999999
Relu_188,23.724
Conv_189,312.2205
Add_190,128.0466
Relu_191,85.6868
Conv_192,356.1215
Relu_193,23.9045
Conv_194,751.4139
Relu_195,23.831
Conv_196,310.6605
Add_197,125.3248
Relu_198,84.56110000000001
Conv_199,356.0652
Relu_200,23.9798
Conv_201,806.1448
Relu_202,23.7488
Conv_203,312.3489
Add_204,125.482
Relu_205,84.6194
Conv_206,356.11440000000005
Relu_207,23.7402
Conv_208,759.4524
Relu_209,23.7973
Conv_210,305.464
Add_211,125.3937
Relu_212,84.6053
Conv_213,356.17859999999996
Relu_214,23.693
Conv_215,762.7402
Relu_216,23.779799999999998
Conv_217,310.2301
Add_218,125.2941
Relu_219,84.8437
Conv_220,638.9084
Relu_221,44.2043
Conv_222,2713.738
Relu_223,44.3958
Conv_224,1276.4233000000002
Conv_225,2512.2199
Add_226,246.6945
Relu_227,165.3006
Conv_228,1263.3586
Relu_229,44.275800000000004
Conv_230,2711.5357999999997
Relu_231,45.9477
Conv_232,1276.4572
Add_233,246.6505
Relu_234,165.4341
Conv_235,1254.7396
Relu_236,44.4078
Conv_237,2710.7136
Relu_238,45.8558
Conv_239,1281.3054
Add_240,247.1968
Relu_241,165.3605
Conv_242,5330.7185
Relu_243,44.3004
Shape_244,6.9494
Gather_246,8.8802
Gather_248,8.8553
Unsqueeze_249,7.9588
Unsqueeze_250,8.6464
Concat_251,28.5532
Reshape_252,47.160599999999995
Transpose_253,55.3112
Concat_254,20.876900000000003
Reshape_255,46.903400000000005
Shape_256,7.128100000000001
Gather_257,7.9378
Conv_258,184.8379
Relu_259,23.9783
Conv_260,99.1557
Relu_261,23.8547
Shape_262,7.3772
Gather_263,10.0007
Gather_264,8.8007
Unsqueeze_265,8.944
Unsqueeze_266,14.558399999999999
Concat_267,15.4259
Reshape_268,25.952
Transpose_269,34.4116
Conv_270,185.3204
Relu_271,24.457900000000002
Conv_272,99.1135
Relu_273,23.8015
Conv_274,348.66470000000004
Shape_275,6.3757
Gather_276,8.318700000000002
Gather_277,9.2581
Unsqueeze_278,8.361
Unsqueeze_279,8.2957
Concat_280,15.231
Reshape_281,25.7795
Shape_282,8.0215
Gather_283,10.5718
Gather_284,10.6895
Unsqueeze_285,7.8973
Unsqueeze_286,8.4016
Concat_287,14.1259
Reshape_288,47.3011
Transpose_289,63.1112
MatMul_290,32.6528
Mul_292,6.8528
Softmax_293,17.0228
MatMul_294,52.2438
Transpose_295,58.586
Gather_297,8.751700000000001
Gather_299,8.5775
Unsqueeze_300,8.0701
Unsqueeze_301,7.3551
Unsqueeze_302,10.8886
Concat_303,17.7553
Reshape_304,47.2375
Conv_305,359.7326
Relu_306,44.3501
Concat_307,28.308
Reshape_308,47.161300000000004
Transpose_309,68.6434
Concat_310,19.3485
Reshape_311,47.0086
Shape_312,7.534
Gather_313,11.932799999999999
Conv_314,185.157
Relu_315,23.888900000000003
Conv_316,99.0453
Relu_317,23.5258
Shape_318,7.5763
Gather_319,8.9032
Gather_320,8.4491
Unsqueeze_321,8.249
Unsqueeze_322,8.239600000000001
Concat_323,14.283700000000001
Reshape_324,25.6346
Transpose_325,29.0147
Conv_326,185.2562
Relu_327,23.7314
Conv_328,99.987
Relu_329,23.809099999999997
Conv_330,337.42409999999995
Shape_331,6.849399999999999
Gather_332,8.2919
Gather_333,8.774700000000001
Unsqueeze_334,8.367799999999999
Unsqueeze_335,8.387799999999999
Concat_336,15.3744
Reshape_337,26.1584
Shape_338,7.4421
Gather_339,8.2471
Gather_340,10.1824
Unsqueeze_341,8.4511
Unsqueeze_342,9.1315
Concat_343,13.548200000000001
Reshape_344,46.906800000000004
Transpose_345,49.9814
MatMul_346,38.4002
Mul_347,6.4935
Softmax_348,15.0899
MatMul_349,55.7414
Transpose_350,50.1295
Gather_351,8.3602
Gather_352,8.1508
Unsqueeze_353,8.2363
Unsqueeze_354,7.8463
Unsqueeze_355,9.9393
Concat_356,17.3764
Reshape_357,47.0952
Conv_358,350.4148
Relu_359,44.4756
Concat_360,26.6047
Reshape_361,46.9425
Transpose_362,53.5806
Concat_363,19.6098
Reshape_364,47.0329
Concat_365,88.43560000000001
Conv_366,638.0681999999999
Relu_367,44.3793
Conv_368,54.314699999999995
Shape_369,7.8586
Slice_372,7.73
Concat_373,11.3297
Resize_375,114.4858
ArgMax_376,199.731
