node,latency
Conv_0,37.217400000000005
Relu_1,19.0892
Conv_2,291.5863
Relu_3,19.341099999999997
Conv_4,264.0267
Relu_5,269.11609999999996
MaxPool_6,33.358
Conv_7,23.9083
Relu_8,11.0354
Conv_9,126.85730000000001
Relu_10,10.8829
Conv_11,161.155
Conv_12,160.1806
Add_13,429.66970000000003
Relu_14,264.6809
Conv_15,55.553
Relu_16,10.927100000000001
Conv_17,126.3444
Relu_18,11.0272
Conv_19,160.7928
Add_20,428.8975
Relu_21,267.8425
Conv_22,56.335800000000006
Relu_23,10.9341
Conv_24,124.825
Relu_25,11.085
Conv_26,160.3164
Add_27,429.9258
Relu_28,265.5621
Conv_29,111.85539999999999
Relu_30,19.1704
Conv_31,112.5967
Relu_32,7.473
Conv_33,53.517300000000006
Conv_34,110.0638
Add_35,58.7958
Relu_36,19.0491
Conv_37,63.784
Relu_38,7.5093000000000005
Conv_39,107.0624
Relu_40,7.4557
Conv_41,54.3724
Add_42,58.6773
Relu_43,19.0197
Conv_44,63.738
Relu_45,7.356199999999999
Conv_46,101.7122
Relu_47,7.8233999999999995
Conv_48,52.8763
Add_49,58.4393
Relu_50,18.999200000000002
Conv_51,63.0085
Relu_52,7.5098
Conv_53,101.7632
Relu_54,7.3233999999999995
Conv_55,53.4055
Add_56,63.8709
Relu_57,18.7988
Conv_58,96.8142
Relu_59,10.802200000000001
Conv_60,296.4507
Relu_61,10.8256
Conv_62,192.8737
Conv_63,371.0365
Add_64,410.2162
Relu_65,269.31309999999996
Conv_66,182.87
Relu_67,10.506
Conv_68,302.10240000000005
Relu_69,10.3193
Conv_70,189.4459
Add_71,431.6657
Relu_72,267.8107
Conv_73,184.3805
Relu_74,10.953100000000001
Conv_75,292.1904
Relu_76,10.8301
Conv_77,190.2251
Add_78,405.58259999999996
Relu_79,269.16270000000003
Conv_80,179.3171
Relu_81,10.7099
Conv_82,298.0471
Relu_83,10.78
Conv_84,190.7661
Add_85,429.7303
Relu_86,268.75390000000004
Conv_87,181.64370000000002
Relu_88,10.991
Conv_89,282.767
Relu_90,10.8005
Conv_91,189.03560000000002
Add_92,412.6858
Relu_93,267.12309999999997
Conv_94,184.3364
Relu_95,10.787700000000001
Conv_96,298.4661
Relu_97,10.3773
Conv_98,189.659
Add_99,404.4765
Relu_100,269.0693
Conv_101,184.4601
Relu_102,10.8894
Conv_103,296.2704
Relu_104,10.851600000000001
Conv_105,189.10520000000002
Add_106,403.86129999999997
Relu_107,269.7523
Conv_108,183.7124
Relu_109,10.9914
Conv_110,284.0013
Relu_111,10.7533
Conv_112,184.29520000000002
Add_113,407.3817
Relu_114,270.612
Conv_115,185.2359
Relu_116,10.767
Conv_117,296.9638
Relu_118,10.340200000000001
Conv_119,183.2127
Add_120,418.4681
Relu_121,269.2515
Conv_122,181.2735
Relu_123,10.9034
Conv_124,283.77090000000004
Relu_125,10.950899999999999
Conv_126,186.2459
Add_127,410.3337
Relu_128,269.2623
Conv_129,181.57829999999998
Relu_130,10.8454
Conv_131,300.4176
Relu_132,10.8293
Conv_133,184.77020000000002
Add_134,425.1901
Relu_135,267.2685
Conv_136,182.364
Relu_137,11.1633
Conv_138,295.8615
Relu_139,10.7826
Conv_140,185.05970000000002
Add_141,406.7138
Relu_142,266.5862
Conv_143,185.60770000000002
Relu_144,11.0065
Conv_145,284.937
Relu_146,10.7611
Conv_147,182.3124
Add_148,404.7468
Relu_149,269.1737
Conv_150,185.2572
Relu_151,10.9368
Conv_152,288.4271
Relu_153,10.6705
Conv_154,184.1911
Add_155,417.774
Relu_156,267.14
Conv_157,182.09570000000002
Relu_158,10.3171
Conv_159,279.1698
Relu_160,10.7776
Conv_161,184.5959
Add_162,408.87620000000004
Relu_163,271.3485
Conv_164,184.3074
Relu_165,10.7389
Conv_166,291.2513
Relu_167,10.8836
Conv_168,181.33339999999998
Add_169,429.0601
Relu_170,267.4194
Conv_171,180.08020000000002
Relu_172,11.005
Conv_173,303.01890000000003
Relu_174,10.4257
Conv_175,180.33929999999998
Add_176,415.8387
Relu_177,268.999
Conv_178,183.7304
Relu_179,11.0328
Conv_180,301.2686
Relu_181,10.8485
Conv_182,178.8737
Add_183,405.182
Relu_184,266.7236
Conv_185,181.5317
