node,latency
Conv_0,201.5342
Relu_1,225.83370000000002
Conv_2,591.5891
Relu_3,226.53470000000002
Conv_4,933.0823
Relu_5,450.28479999999996
MaxPool_6,306.0525
Conv_7,140.65789999999998
Relu_8,115.68039999999999
Conv_9,328.4733
Relu_10,115.054
Conv_11,382.54470000000003
Conv_12,382.6943
Add_13,682.7081
Relu_14,449.514
Conv_15,333.7736
Relu_16,115.1572
Conv_17,327.5609
Relu_18,115.152
Conv_19,382.5724
Add_20,682.4073000000001
Relu_21,449.0847
Conv_22,331.7213
Relu_23,115.9903
Conv_24,327.2812
Relu_25,115.281
Conv_26,385.46709999999996
Add_27,682.8888000000001
Relu_28,449.13259999999997
Conv_29,508.7115
Relu_30,226.5224
Conv_31,562.1971
Relu_32,59.498
Conv_33,283.62870000000004
Conv_34,502.36609999999996
Add_35,343.2161
Relu_36,226.17020000000002
Conv_37,263.3083
Relu_38,60.178
Conv_39,292.6581
Relu_40,60.1586
Conv_41,284.8514
Add_42,343.4639
Relu_43,226.38070000000002
Conv_44,267.248
Relu_45,59.476800000000004
Conv_46,289.146
Relu_47,59.512699999999995
Conv_48,284.2545
Add_49,343.2097
Relu_50,226.2689
Conv_51,271.888
Relu_52,59.4333
Conv_53,290.2149
Relu_54,59.4474
Conv_55,283.73990000000003
Add_56,342.97740000000005
Relu_57,226.34920000000002
Conv_58,502.914
Relu_59,115.145
Conv_60,1010.597
Relu_61,115.0793
Conv_62,983.9974
Conv_63,1942.4988
Add_64,685.6486
Relu_65,449.1858
Conv_66,996.8317
Relu_67,115.37689999999999
Conv_68,2253.1556
Relu_69,115.6198
Conv_70,990.4069000000001
Add_71,682.64
Relu_72,449.7621
Conv_73,994.0952
Relu_74,115.0898
Conv_75,2167.2946
Relu_76,115.4502
Conv_77,997.5020999999999
Add_78,682.6655999999999
Relu_79,449.9206
Conv_80,996.1665
Relu_81,115.09230000000001
Conv_82,2167.364
Relu_83,115.03439999999999
Conv_84,984.6388000000001
Add_85,682.5566
Relu_86,449.047
Conv_87,982.5066999999999
Relu_88,115.1467
Conv_89,2190.2003999999997
Relu_90,115.1105
Conv_91,984.8123
Add_92,682.8602
Relu_93,449.11379999999997
Conv_94,1017.8553
Relu_95,115.2463
Conv_96,2164.7198
Relu_97,115.11019999999999
Conv_98,999.1686
Add_99,682.5693
Relu_100,449.1382
Conv_101,996.9907
Relu_102,114.986
Conv_103,2179.1477999999997
Relu_104,114.97789999999999
Conv_105,985.4783
Add_106,682.5509000000001
Relu_107,449.4182
Conv_108,1006.6137
Relu_109,116.2046
Conv_110,2151.2342999999996
Relu_111,114.9261
Conv_112,1030.6863
Add_113,682.6474000000001
Relu_114,449.26079999999996
Conv_115,1004.0355
Relu_116,115.1491
Conv_117,2203.9225
Relu_118,115.1605
Conv_119,983.5141
Add_120,682.8974000000001
Relu_121,449.161
Conv_122,1011.8811
Relu_123,115.0815
Conv_124,2171.9283
Relu_125,115.1101
Conv_126,997.4969
Add_127,683.5021999999999
Relu_128,449.0342
Conv_129,1005.5096
Relu_130,115.0942
Conv_131,2253.8613
Relu_132,115.06689999999999
Conv_133,1012.2886
Add_134,682.6475
Relu_135,449.23909999999995
Conv_136,983.7188000000001
Relu_137,115.0173
Conv_138,2150.5609
Relu_139,115.1451
Conv_140,986.4121
Add_141,683.4055
Relu_142,449.0572
Conv_143,998.7582
Relu_144,115.294
Conv_145,2164.5324
Relu_146,115.0035
Conv_147,985.9343
Add_148,682.5108
Relu_149,448.86129999999997
Conv_150,1009.0666
Relu_151,115.15589999999999
Conv_152,2151.6674
Relu_153,115.0363
Conv_154,984.5273000000001
Add_155,682.9825999999999
