node,latency
Conv_0,136.395
Relu_1,137.8586
Conv_2,414.4235
Relu_3,139.6236
Conv_4,678.6510999999999
Relu_5,275.6327
MaxPool_6,167.3124
Conv_7,81.11210000000001
Relu_8,71.21589999999999
Conv_9,280.6826
Relu_10,71.06739999999999
Conv_11,208.00070000000002
Conv_12,209.7361
Add_13,396.8366
Relu_14,275.5052
Conv_15,204.0976
Relu_16,71.1602
Conv_17,281.8546
Relu_18,71.8758
Conv_19,208.38629999999998
Add_20,396.1676
Relu_21,275.6059
Conv_22,206.558
Relu_23,71.2181
Conv_24,278.3498
Relu_25,71.3787
Conv_26,208.7635
Add_27,396.1276
Relu_28,275.7111
Conv_29,353.16720000000004
Relu_30,139.6475
Conv_31,416.6756
Relu_32,36.8038
Conv_33,183.2005
Conv_34,347.7165
Add_35,199.1214
Relu_36,139.8725
Conv_37,194.14870000000002
Relu_38,36.796
Conv_39,254.7965
Relu_40,36.963699999999996
Conv_41,183.9639
Add_42,199.6
Relu_43,139.4304
Conv_44,202.47289999999998
Relu_45,36.769400000000005
Conv_46,258.4304
Relu_47,36.800599999999996
Conv_48,183.685
Add_49,200.0771
Relu_50,139.7978
Conv_51,194.3175
Relu_52,36.840300000000006
Conv_53,264.1492
Relu_54,36.769400000000005
Conv_55,184.3896
Add_56,199.10420000000002
Relu_57,139.594
Conv_58,365.8922
Relu_59,71.1688
Conv_60,896.9066
Relu_61,71.10310000000001
Conv_62,666.4508000000001
Conv_63,1195.6291
Add_64,396.0578
Relu_65,275.7445
Conv_66,709.4299
Relu_67,70.9978
Conv_68,1587.6075
Relu_69,70.8355
Conv_70,655.6203
Add_71,394.97540000000004
Relu_72,275.5093
Conv_73,699.2439
Relu_74,70.93639999999999
Conv_75,1581.3785
Relu_76,70.69460000000001
Conv_77,650.9167
Add_78,394.9376
Relu_79,275.3372
Conv_80,704.5668000000001
Relu_81,71.39569999999999
Conv_82,1514.3003
Relu_83,71.0411
Conv_84,653.2846
Add_85,394.9047
Relu_86,276.6179
Conv_87,699.487
Relu_88,71.3967
Conv_89,1514.0182
Relu_90,70.8382
Conv_91,655.586
Add_92,395.5451
Relu_93,275.667
Conv_94,708.5389
Relu_95,71.44789999999999
Conv_96,1590.8997
Relu_97,70.9872
Conv_98,650.6248
Add_99,394.96590000000003
Relu_100,275.3546
Conv_101,708.0426
Relu_102,71.1215
Conv_103,1632.4791
Relu_104,70.926
Conv_105,651.4411
Add_106,394.97090000000003
Relu_107,275.9516
Conv_108,711.0791999999999
Relu_109,71.1628
Conv_110,1628.7836000000002
Relu_111,71.2911
Conv_112,657.0974
Add_113,395.182
Relu_114,277.0872
Conv_115,714.4929000000001
Relu_116,71.2849
Conv_117,1514.473
Relu_118,71.3083
Conv_119,658.1881
Add_120,394.85220000000004
Relu_121,275.3754
Conv_122,708.5995
Relu_123,71.3001
Conv_124,1527.8553
Relu_125,71.88889999999999
Conv_126,651.3339
Add_127,396.2793
Relu_128,275.313
Conv_129,712.4947
Relu_130,71.1947
Conv_131,1634.9213
Relu_132,71.3197
Conv_133,656.3221
Add_134,394.9135
Relu_135,276.5521
Conv_136,718.2275
Relu_137,71.3331
Conv_138,1700.1689
Relu_139,71.26989999999999
Conv_140,656.5573
Add_141,394.8098
Relu_142,275.5659
Conv_143,709.1243000000001
Relu_144,71.8686
Conv_145,1572.2113
Relu_146,71.47210000000001
Conv_147,650.8131999999999
Add_148,394.9991
Relu_149,275.7483
Conv_150,711.6815
Relu_151,71.25160000000001
Conv_152,1571.8966
Relu_153,71.4081
Conv_154,660.7534
Add_155,394.8698
Relu_156,275.20309999999995
Conv_157,709.8818
Relu_158,71.3072
Conv_159,1579.9098000000001
Relu_160,71.4046
Conv_161,653.434
Add_162,395.84009999999995
Relu_163,276.0659
Conv_164,707.4638
Relu_165,71.2992
Conv_166,1580.4158
Relu_167,71.27210000000001
Conv_168,654.5127
Add_169,394.697
Relu_170,275.7989
Conv_171,703.0378000000001
Relu_172,71.7789
Conv_173,1656.1851000000001
Relu_174,71.359
Conv_175,657.5224000000001
Add_176,395.7033
Relu_177,275.6209
Conv_178,709.5432
Relu_179,71.1947
Conv_180,1515.1304
Relu_181,71.35289999999999
Conv_182,652.2914000000001
Add_183,395.7238
Relu_184,276.6343
Conv_185,703.0509000000001
Relu_186,72.724
Conv_187,1564.962
Relu_188,71.27539999999999
Conv_189,656.6622
Add_190,395.001
Relu_191,275.11420000000004
Conv_192,717.3653
Relu_193,71.3806
Conv_194,1639.1034
Relu_195,71.417
Conv_196,654.1828
Add_197,394.9985
Relu_198,275.6391
Conv_199,709.6326
Relu_200,71.24789999999999
Conv_201,1636.0443
Relu_202,72.3454
Conv_203,667.2911
Add_204,395.134
Relu_205,275.4051
Conv_206,710.0331
Relu_207,71.2957
Conv_208,1645.2362
Relu_209,71.45689999999999
Conv_210,656.8335999999999
Add_211,394.8039
Relu_212,275.12890000000004
Conv_213,705.087
Relu_214,72.4307
Conv_215,1582.4245
Relu_216,71.6246
Conv_217,655.8289
Add_218,395.56579999999997
Relu_219,275.958
Conv_220,1272.2742
Relu_221,139.6124
Conv_222,8405.6869
Relu_223,139.8882
Conv_224,2819.3907000000004
Conv_225,8098.8347
Add_226,784.6701999999999
Relu_227,548.8948
Conv_228,2987.3932
Relu_229,139.5645
Conv_230,8559.1213
Relu_231,139.46620000000001
Conv_232,2733.2507
Add_233,782.3709
Relu_234,549.0926
Conv_235,2845.308
Relu_236,139.4306
Conv_237,8532.713099999999
Relu_238,139.6479
Conv_239,2771.8202
Add_240,773.4262
Relu_241,552.2013000000001
Conv_242,21590.8993
Relu_243,139.6511
Shape_244,7.339600000000001
Gather_246,8.535200000000001
Conv_247,363.7661
Unsqueeze_248,7.4085
Concat_249,14.8958
Reshape_250,72.3253
Transpose_251,79.7608
Conv_252,362.6103
Reshape_253,72.1301
Transpose_254,79.5022
Conv_255,363.87420000000003
