node,latency
Conv_0,44.619800000000005
Relu_1,44.8075
Conv_2,115.4675
Relu_3,44.29
Conv_4,226.5189
Relu_5,85.2351
MaxPool_6,59.1488
Conv_7,36.7171
Relu_8,23.890900000000002
Conv_9,105.51689999999999
Relu_10,26.254900000000003
Conv_11,93.25280000000001
Conv_12,94.0945
Add_13,125.5236
Relu_14,85.0474
Conv_15,102.0987
Relu_16,24.3138
Conv_17,105.0497
Relu_18,24.5683
Conv_19,93.6
Add_20,125.4644
Relu_21,84.6147
Conv_22,101.8627
Relu_23,24.2055
Conv_24,105.1942
Relu_25,23.662599999999998
Conv_26,94.3177
Add_27,125.32560000000001
Relu_28,84.8442
Conv_29,168.2508
Relu_30,44.3288
Conv_31,205.76139999999998
Relu_32,12.6679
Conv_33,91.472
Conv_34,168.5968
Add_35,64.9611
Relu_36,44.498
Conv_37,97.32639999999999
Relu_38,12.220799999999999
Conv_39,109.3165
Relu_40,11.9739
Conv_41,92.8009
Add_42,65.78110000000001
Relu_43,44.5402
Conv_44,97.3654
Relu_45,11.8474
Conv_46,109.246
Relu_47,12.1693
Conv_48,92.549
Add_49,65.036
Relu_50,44.4384
Conv_51,97.42530000000001
Relu_52,11.9845
Conv_53,108.534
Relu_54,11.9493
Conv_55,91.9551
Add_56,65.4008
Relu_57,44.494699999999995
Conv_58,185.086
Relu_59,23.765400000000003
Conv_60,355.067
Relu_61,23.730700000000002
Conv_62,308.75579999999997
Conv_63,682.8898
Add_64,125.77289999999999
Relu_65,84.7813
Conv_66,356.37809999999996
Relu_67,23.891099999999998
Conv_68,767.5168000000001
Relu_69,23.889599999999998
Conv_70,302.7575
Add_71,125.7409
Relu_72,84.8926
Conv_73,356.309
Relu_74,24.023799999999998
Conv_75,758.3418
Relu_76,23.9924
Conv_77,313.5798
Add_78,125.7157
Relu_79,84.595
Conv_80,356.1224
Relu_81,23.761200000000002
Conv_82,759.5933
Relu_83,23.7152
Conv_84,316.61220000000003
Add_85,125.7153
Relu_86,85.1396
Conv_87,356.472
Relu_88,23.867900000000002
Conv_89,758.7114
Relu_90,23.7683
Conv_91,308.9195
Add_92,125.81689999999999
Relu_93,84.61580000000001
Conv_94,358.8712
Relu_95,23.9177
Conv_96,759.7858
Relu_97,23.7707
Conv_98,307.0317
Add_99,125.8902
Relu_100,85.0278
Conv_101,359.479
Relu_102,23.9175
Conv_103,759.9336
Relu_104,23.7087
Conv_105,315.5363
Add_106,125.89989999999999
Relu_107,85.03110000000001
Conv_108,356.5596
Relu_109,24.9685
Conv_110,750.9649000000001
Relu_111,23.874200000000002
Conv_112,310.065
Add_113,125.7998
Relu_114,84.70339999999999
Conv_115,356.29359999999997
Relu_116,23.734900000000003
Conv_117,774.8119
Relu_118,24.1185
Conv_119,311.5452
Add_120,125.8237
Relu_121,85.0025
Conv_122,356.9719
Relu_123,23.6809
Conv_124,767.38
Relu_125,23.5925
Conv_126,303.7065
Add_127,125.7889
Relu_128,84.9319
Conv_129,356.3528
Relu_130,24.0424
Conv_131,759.768
Relu_132,23.8674
Conv_133,309.4136
Add_134,125.816
Relu_135,84.9933
Conv_136,356.36859999999996
Relu_137,23.8919
Conv_138,768.4629
Relu_139,23.780099999999997
Conv_140,314.1088
Add_141,125.86330000000001
Relu_142,84.64869999999999
Conv_143,356.5166
Relu_144,23.8902
Conv_145,759.5322
Relu_146,23.9142
Conv_147,310.1273
Add_148,125.9097
Relu_149,84.70639999999999
Conv_150,356.1885
Relu_151,23.8899
Conv_152,769.0880999999999
Relu_153,23.7692
Conv_154,311.905
Add_155,125.69460000000001
Relu_156,84.7554
Conv_157,356.5961
Relu_158,23.6624
Conv_159,787.0494
Relu_160,23.6041
Conv_161,313.3933
Add_162,126.18730000000001
Relu_163,84.91210000000001
Conv_164,356.6253
Relu_165,23.7922
Conv_166,757.6116999999999
Relu_167,24.296200000000002
Conv_168,312.0186
Add_169,126.025
Relu_170,84.79560000000001
Conv_171,356.8863
Relu_172,23.743
Conv_173,758.4254
Relu_174,23.959799999999998
Conv_175,307.3247
Add_176,125.765
Relu_177,84.9426
Conv_178,356.7183
Relu_179,24.0828
Conv_180,767.0892
Relu_181,23.798299999999998
Conv_182,310.4016
Add_183,125.6867
Relu_184,84.70739999999999
Conv_185,356.2127
Relu_186,24.0797
Conv_187,751.4061999999999
Relu_188,23.855900000000002
Conv_189,316.3902
Add_190,125.86710000000001
Relu_191,84.45410000000001
Conv_192,356.8793
Relu_193,23.6345
Conv_194,760.1114
Relu_195,23.7412
Conv_196,309.44640000000004
Add_197,125.6456
Relu_198,84.708
Conv_199,356.6832
Relu_200,24.1545
Conv_201,759.6893
Relu_202,23.6588
Conv_203,319.0855
Add_204,125.9857
Relu_205,85.0955
Conv_206,356.41540000000003
Relu_207,24.0747
Conv_208,751.8008000000001
Relu_209,23.7852
Conv_210,316.8639
Add_211,125.8358
Relu_212,84.85839999999999
Conv_213,356.2876
Relu_214,23.8615
Conv_215,771.1182
Relu_216,23.8428
Conv_217,313.73909999999995
Add_218,125.8487
Relu_219,84.88369999999999
Conv_220,638.7241
Relu_221,44.4153
Conv_222,2712.31
Relu_223,44.3856
Conv_224,1275.683
Conv_225,2487.8887
Add_226,246.8177
Relu_227,165.4525
Conv_228,1254.9432
Relu_229,44.3048
Conv_230,2710.1481
Relu_231,44.311699999999995
Conv_232,1276.1007
Add_233,246.6741
Relu_234,165.2912
Conv_235,1254.7202
Relu_236,44.284099999999995
Conv_237,2713.2191000000003
Relu_238,44.4493
Conv_239,1276.7749
Add_240,246.6463
Relu_241,165.8951
Conv_242,5321.4423
Relu_243,44.438
Shape_244,6.4742
Gather_246,10.7746
Conv_247,184.8293
Unsqueeze_248,8.7965
Concat_249,14.4501
Reshape_250,25.6508
Transpose_251,28.8322
Conv_252,184.8963
Reshape_253,25.4337
Transpose_254,29.072400000000002
Conv_255,185.214
Reshape_256,25.6535
MatMul_257,580.1814
Shape_258,6.972600000000001
Gather_260,10.412700000000001
Cast_261,8.578299999999999
Pow_263,7.6385
Div_264,165.3715
Softmax_265,254.5248
MatMul_266,626.2884
Transpose_267,29.1049
Gather_268,8.694
Gather_270,8.754
Unsqueeze_271,8.059
Unsqueeze_272,7.9028
Concat_273,19.695400000000003
Reshape_274,25.641599999999997
Conv_275,167.2115
Add_276,64.8674
Conv_277,1289.8383999999999
Relu_278,44.328900000000004
Concat_279,211.7416
Conv_280,6492.339099999999
Relu_281,44.3849
Conv_282,53.838300000000004
Shape_283,8.200700000000001
Slice_286,7.6145
Concat_287,11.568299999999999
Resize_289,114.1437
ArgMax_290,199.71089999999998
