node,latency
Conv_0,90.5408
Relu_1,15.1564
MaxPool_2,14.6564
Conv_3,19.2025
Relu_4,8.943299999999999
Conv_5,98.2415
Relu_6,8.998700000000001
Conv_7,46.6118
Conv_8,32.018299999999996
Add_9,20.187900000000003
Relu_10,15.2569
Conv_11,42.690400000000004
Relu_12,9.190100000000001
Conv_13,98.1863
Relu_14,9.1063
Conv_15,46.5214
Add_16,20.1674
Relu_17,15.1656
Conv_18,42.8446
Relu_19,9.172
Conv_20,98.739
Relu_21,9.0278
Conv_22,47.5925
Add_23,20.1945
Relu_24,15.3139
Conv_25,80.95
Relu_26,15.391200000000001
Conv_27,82.70689999999999
Relu_28,7.0733999999999995
Conv_29,35.4995
Conv_30,47.194199999999995
Add_31,11.8459
Relu_32,9.2349
Conv_33,35.7962
Relu_34,7.017399999999999
Conv_35,61.790699999999994
Relu_36,7.0263
Conv_37,35.3753
Add_38,11.6234
Relu_39,9.415
Conv_40,36.4424
Relu_41,7.0984
Conv_42,61.537099999999995
Relu_43,7.0328
Conv_44,35.880900000000004
Add_45,11.39
Relu_46,9.0076
Conv_47,35.3551
Relu_48,6.881600000000001
Conv_49,61.4551
Relu_50,7.1606000000000005
Conv_51,35.878099999999996
Add_52,11.6705
Relu_53,9.0909
Conv_54,35.3464
Relu_55,7.0301
Conv_56,61.79
Relu_57,7.1959
Conv_58,35.411300000000004
Add_59,11.2545
Relu_60,8.7045
Conv_61,35.9874
Relu_62,7.0965
Conv_63,61.8768
Relu_64,7.194
Conv_65,35.4266
Add_66,11.6373
Relu_67,9.2084
Conv_68,37.2466
Relu_69,7.1188
Conv_70,61.9703
Relu_71,6.9939
Conv_72,35.1648
Add_73,11.4135
Relu_74,9.103399999999999
Conv_75,35.824
Relu_76,7.0791
Conv_77,61.5589
Relu_78,7.035
Conv_79,35.1888
Add_80,11.514299999999999
Relu_81,9.087200000000001
Conv_82,61.262699999999995
Relu_83,8.9785
Conv_84,34.7677
Relu_85,6.964899999999999
Conv_86,30.93
Conv_87,36.1794
Add_88,8.3335
Relu_89,7.026800000000001
Conv_90,35.996900000000004
Relu_91,7.672
Conv_92,28.83
Relu_93,6.9385
Conv_94,30.9116
Add_95,7.4085
Relu_96,7.043
Conv_97,36.2111
