node,latency
Conv_0,307.0046
Relu_1,173.99089999999998
MaxPool_2,120.9911
Conv_3,94.432
Relu_4,89.0361
Conv_5,572.7444
Relu_6,88.8541
Conv_7,225.891
Conv_8,168.07729999999998
Add_9,263.8455
Relu_10,174.2081
Conv_11,217.5683
Relu_12,88.9291
Conv_13,570.4054
Relu_14,88.94439999999999
Conv_15,225.1892
Add_16,263.6601
Relu_17,175.3019
Conv_18,224.7517
Relu_19,88.8285
Conv_20,571.3829000000001
Relu_21,88.9037
Conv_22,225.2605
Add_23,263.6492
Relu_24,174.092
Conv_25,391.5989
Relu_26,174.2335
Conv_27,634.2009
Relu_28,46.3063
Conv_29,212.27970000000002
Conv_30,218.0248
Add_31,133.6856
Relu_32,89.0905
Conv_33,217.9125
Relu_34,46.1446
Conv_35,333.022
Relu_36,46.210300000000004
Conv_37,210.97289999999998
Add_38,133.6381
Relu_39,88.9145
Conv_40,220.6011
Relu_41,46.8168
Conv_42,332.629
Relu_43,46.2668
Conv_44,216.6754
Add_45,133.6884
Relu_46,88.903
Conv_47,221.668
Relu_48,46.1615
Conv_49,333.7745
Relu_50,46.0353
Conv_51,215.57420000000002
Add_52,133.2569
Relu_53,88.82839999999999
Conv_54,217.06820000000002
Relu_55,46.103199999999994
Conv_56,331.9908
Relu_57,46.182199999999995
Conv_58,212.4518
Add_59,133.6209
Relu_60,88.8757
Conv_61,215.3624
Relu_62,46.2986
Conv_63,332.58959999999996
Relu_64,46.153800000000004
Conv_65,232.68370000000002
Add_66,133.6361
Relu_67,89.01
Conv_68,210.7924
Relu_69,45.9696
Conv_70,331.9618
Relu_71,46.244800000000005
Conv_72,216.0762
Add_73,134.5985
Relu_74,89.6216
Conv_75,216.2056
Relu_76,46.229
Conv_77,332.7086
Relu_78,46.1383
Conv_79,214.7629
Add_80,133.661
Relu_81,88.9427
Conv_82,399.1349
Relu_83,88.85510000000001
Conv_84,287.96659999999997
Relu_85,22.3228
Conv_86,248.1336
Conv_87,245.3041
Add_88,68.9282
Relu_89,46.411
Conv_90,218.2405
Relu_91,22.1962
Conv_92,166.6216
Relu_93,22.228099999999998
Conv_94,235.724
Add_95,68.83019999999999
Relu_96,46.230199999999996
