node,latency
Conv_0,253.05339999999998
Relu_1,106.5738
MaxPool_2,75.54169999999999
Conv_3,59.263400000000004
Relu_4,54.9357
Conv_5,184.6382
Relu_6,55.1305
Conv_7,143.9594
Conv_8,86.878
Add_9,153.3505
Relu_10,107.4791
Conv_11,140.11520000000002
Relu_12,55.2341
Conv_13,190.75629999999998
Relu_14,55.2647
Conv_15,135.07520000000002
Add_16,153.38770000000002
Relu_17,107.1636
Conv_18,135.79229999999998
Relu_19,54.8814
Conv_20,186.98170000000002
Relu_21,55.334
Conv_22,144.6471
Add_23,153.55579999999998
Relu_24,107.2513
Conv_25,254.484
Relu_26,107.1105
Conv_27,199.1709
Relu_28,27.4434
Conv_29,129.27110000000002
Conv_30,152.97029999999998
Add_31,77.9777
Relu_32,56.0899
Conv_33,150.3667
Relu_34,27.836299999999998
Conv_35,177.3006
Relu_36,27.854200000000002
Conv_37,130.8081
Add_38,79.7837
Relu_39,55.177699999999994
Conv_40,167.6526
Relu_41,27.551099999999998
Conv_42,180.3705
Relu_43,27.6088
Conv_44,128.9136
Add_45,77.98
Relu_46,55.025400000000005
Conv_47,168.116
Relu_48,27.8515
Conv_49,177.2019
Relu_50,28.0886
Conv_51,128.963
Add_52,78.0944
Relu_53,55.1239
Conv_54,168.6573
Relu_55,27.3781
Conv_56,175.7748
Relu_57,27.5578
Conv_58,128.2762
Add_59,77.91980000000001
Relu_60,55.1035
Conv_61,161.83720000000002
Relu_62,27.4987
Conv_63,181.0447
Relu_64,27.4023
Conv_65,141.7276
Add_66,78.1189
Relu_67,55.232699999999994
Conv_68,172.1346
Relu_69,27.4832
Conv_70,177.06539999999998
Relu_71,27.5815
Conv_72,138.3557
Add_73,78.1288
Relu_74,55.1559
Conv_75,150.5784
Relu_76,27.997700000000002
Conv_77,177.3346
Relu_78,27.3514
Conv_79,129.2385
Add_80,77.9332
Relu_81,55.415099999999995
Conv_82,273.80809999999997
Relu_83,55.5234
Conv_84,167.116
Relu_85,6.2766
Conv_86,146.03
Conv_87,164.311
Add_88,41.0447
Relu_89,27.6405
Conv_90,171.26739999999998
Relu_91,8.1435
Conv_92,89.0721
Relu_93,6.2058
Conv_94,146.52270000000001
Add_95,41.0563
Relu_96,28.4363
Conv_97,171.99329999999998
Relu_98,6.1845
Conv_99,86.4135
Relu_100,6.1818
Conv_101,146.5701
Add_102,41.1312
Relu_103,27.6173
Conv_104,172.2945
Relu_105,6.305899999999999
Conv_106,87.1007
Relu_107,6.1917
Conv_108,145.1079
Add_109,41.1102
Relu_110,27.537599999999998
Conv_111,171.70270000000002
