node,latency
Conv_0,98.10910000000001
Relu_1,35.108599999999996
MaxPool_2,26.330099999999998
Conv_3,31.0877
Relu_4,19.335
Conv_5,94.5856
Relu_6,19.1214
Conv_7,72.171
Conv_8,44.700199999999995
Add_9,50.5298
Relu_10,35.076
Conv_11,78.5361
Relu_12,19.4118
Conv_13,93.73819999999999
Relu_14,19.537200000000002
Conv_15,72.5167
Add_16,50.4631
Relu_17,38.1939
Conv_18,78.6115
Relu_19,19.2374
Conv_20,93.6675
Relu_21,19.1979
Conv_22,71.98230000000001
Add_23,50.7225
Relu_24,34.878800000000005
Conv_25,126.5955
Relu_26,34.951800000000006
Conv_27,94.969
Relu_28,7.7092
Conv_29,78.57419999999999
Conv_30,78.2059
Add_31,27.5742
Relu_32,19.5517
Conv_33,84.94439999999999
Relu_34,7.403
Conv_35,75.305
Relu_36,7.365399999999999
Conv_37,78.2307
Add_38,27.676099999999998
Relu_39,19.4698
Conv_40,85.0962
Relu_41,7.057300000000001
Conv_42,74.28110000000001
Relu_43,6.9094
Conv_44,78.1514
Add_45,27.4318
Relu_46,19.4158
Conv_47,84.745
Relu_48,7.5788
Conv_49,74.43939999999999
Relu_50,6.881
Conv_51,76.6721
Add_52,27.8582
Relu_53,19.418599999999998
Conv_54,85.0684
Relu_55,6.9113
Conv_56,75.7175
Relu_57,7.099
Conv_58,79.1466
Add_59,27.5005
Relu_60,19.2253
Conv_61,85.00460000000001
Relu_62,7.166
Conv_63,74.5944
Relu_64,7.0797
Conv_65,80.56
Add_66,27.969
Relu_67,19.1814
Conv_68,85.1948
Relu_69,7.5251
Conv_70,70.1332
Relu_71,6.767399999999999
Conv_72,75.789
Add_73,27.5772
Relu_74,19.545
Conv_75,84.9521
Relu_76,6.9113999999999995
Conv_77,74.0825
Relu_78,7.5027
Conv_79,79.60610000000001
Add_80,27.759900000000002
Relu_81,19.5115
Conv_82,140.4409
Relu_83,19.384700000000002
Conv_84,51.6061
Relu_85,6.5965
Conv_86,87.96119999999999
Conv_87,86.54910000000001
Add_88,15.202200000000001
Relu_89,7.3915
Conv_90,87.5954
Relu_91,6.4698
Conv_92,31.2965
Relu_93,6.3298000000000005
Conv_94,85.511
Add_95,15.0189
Relu_96,6.9314
Conv_97,86.8624
Relu_98,6.4612
Conv_99,31.2106
Relu_100,7.169899999999999
Conv_101,86.8511
Add_102,15.066
Relu_103,6.9197
Conv_104,87.575
Relu_105,6.4742
Conv_106,31.3906
Relu_107,6.6378
Conv_108,86.6415
Add_109,14.9497
Relu_110,6.820399999999999
Conv_111,87.12910000000001
Relu_112,6.3261
Conv_113,31.3262
Relu_114,6.6894
Conv_115,85.3817
Add_116,15.0472
Relu_117,7.1913
Conv_118,86.7895
Relu_119,6.6529
Conv_120,31.1624
Relu_121,6.9346000000000005
Conv_122,87.3278
Add_123,15.0854
Relu_124,7.5872
Conv_125,88.1017
Relu_126,6.3689
Conv_127,31.315099999999997
Relu_128,7.4618
Conv_129,88.4791
Add_130,15.114600000000001
Relu_131,7.1665
Conv_132,87.9488
Relu_133,7.4365
Conv_134,32.8543
Relu_135,6.333
Conv_136,89.1862
Add_137,16.1089
Relu_138,7.6155
Conv_139,87.1199
Relu_140,6.6233
Conv_141,31.3201
Relu_142,6.2672
Conv_143,86.2065
Add_144,15.3597
Relu_145,7.1023000000000005
Conv_146,87.4807
Relu_147,6.3671999999999995
Conv_148,31.052799999999998
Relu_149,6.323600000000001
Conv_150,86.8934
Add_151,15.154
Relu_152,7.8483
Conv_153,87.2081
Relu_154,6.758
Conv_155,31.141299999999998
Relu_156,6.703399999999999
Conv_157,86.74910000000001
Add_158,15.14
Relu_159,6.9465
Conv_160,87.069
Relu_161,6.3266
Conv_162,31.1962
Relu_163,6.9953
Conv_164,87.2032
Add_165,14.957
Relu_166,7.1583000000000006
Conv_167,87.483
Relu_168,6.451899999999999
Conv_169,31.5289
Relu_170,7.9769
Conv_171,89.4291
Add_172,16.1613
Relu_173,7.0891
Conv_174,87.569
Relu_175,6.5017
Conv_176,31.1524
Relu_177,6.6789
Conv_178,85.2146
Add_179,15.1089
Relu_180,7.1268
Conv_181,87.3101
Relu_182,6.416399999999999
Conv_183,31.2747
Relu_184,7.092899999999999
Conv_185,86.131
Add_186,15.5167
Relu_187,6.9396
Conv_188,87.674
Relu_189,6.331899999999999
Conv_190,31.1221
Relu_191,8.1709
Conv_192,87.7953
Add_193,15.047600000000001
Relu_194,6.9319
Conv_195,87.7055
Relu_196,6.6769
Conv_197,31.2716
Relu_198,7.0202
Conv_199,94.689
Add_200,15.2298
Relu_201,7.1703
Conv_202,86.4696
Relu_203,6.3873
Conv_204,31.813299999999998
Relu_205,6.497199999999999
Conv_206,85.7971
Add_207,15.9002
Relu_208,7.1868
Conv_209,88.7226
Relu_210,6.4962
Conv_211,31.1094
Relu_212,6.980899999999999
Conv_213,85.54889999999999
Add_214,15.047799999999999
Relu_215,7.237
Conv_216,86.6998
Relu_217,6.4189
Conv_218,31.0536
Relu_219,7.2278
Conv_220,90.73360000000001
Add_221,15.375399999999999
Relu_222,7.8812
Conv_223,87.2224
Relu_224,6.6376
Conv_225,31.45
Relu_226,6.460100000000001
Conv_227,86.5929
Add_228,15.183399999999999
Relu_229,6.872
Conv_230,87.2916
Relu_231,6.3833
Conv_232,31.201400000000003
Relu_233,6.4052
Conv_234,85.5261
Add_235,15.0511
Relu_236,6.8131
Conv_237,86.9443
Relu_238,6.3603000000000005
Conv_239,31.5552
Relu_240,6.6442
Conv_241,89.6631
Add_242,15.1452
Relu_243,6.975
Conv_244,86.949
Relu_245,6.6923
Conv_246,31.8405
Relu_247,6.3119
Conv_248,88.6699
Add_249,15.0551
Relu_250,6.7999
Conv_251,88.43339999999999
Relu_252,8.245700000000001
Conv_253,31.1038
Relu_254,6.4625
Conv_255,85.2213
Add_256,15.3049
Relu_257,7.1358999999999995
Conv_258,87.58019999999999
Relu_259,6.3594
Conv_260,32.4613
Relu_261,6.5341000000000005
Conv_262,85.5587
Add_263,15.107
Relu_264,6.878100000000001
Conv_265,86.9087
Relu_266,6.3988000000000005
Conv_267,31.1315
Relu_268,7.3888
Conv_269,85.4814
Add_270,16.548
Relu_271,7.0839
Conv_272,87.1079
Relu_273,6.3544
Conv_274,32.0786
Relu_275,6.9891000000000005
Conv_276,85.14
Add_277,15.485899999999999
Relu_278,6.777699999999999
Conv_279,87.0744
Relu_280,6.6503000000000005
Conv_281,31.137400000000003
Relu_282,6.8126999999999995
Conv_283,88.9782
Add_284,16.192700000000002
Relu_285,7.1428
Conv_286,87.503
Relu_287,6.4045
Conv_288,30.8978
Relu_289,6.36
Conv_290,89.65939999999999
Add_291,15.1615
Relu_292,7.0865
Conv_293,87.2512
Relu_294,6.3262
Conv_295,31.2105
Relu_296,6.387
Conv_297,86.4335
Add_298,15.271700000000001
Relu_299,7.944
Conv_300,87.1267
Relu_301,6.3599
Conv_302,31.7054
Relu_303,6.3498
Conv_304,88.50580000000001
Add_305,15.0116
Relu_306,7.6419
Conv_307,87.517
Relu_308,6.7876
Conv_309,32.257
Relu_310,6.3588000000000005
Conv_311,85.48819999999999
Add_312,15.039100000000001
Relu_313,6.8183
Conv_314,87.485
Relu_315,7.717899999999999
Conv_316,31.3292
Relu_317,6.7138
Conv_318,85.4722
Add_319,15.069600000000001
Relu_320,7.757899999999999
Conv_321,87.49130000000001
Relu_322,6.6772
Conv_323,31.1911
Relu_324,6.7234
Conv_325,87.0176
Add_326,15.2904
Relu_327,7.0998
Conv_328,87.4739
Relu_329,6.583
Conv_330,31.2331
Relu_331,6.4296999999999995
Conv_332,89.98610000000001
Add_333,15.0671
Relu_334,7.847300000000001
Conv_335,154.1391
Relu_336,7.633100000000001
Conv_337,33.537800000000004
Relu_338,6.2982
Conv_339,91.8089
Conv_340,110.07239999999999
Add_341,7.6715
Relu_342,6.7056000000000004
Conv_343,98.1587
Relu_344,6.3608
Conv_345,28.0054
Relu_346,6.450399999999999
Conv_347,92.4743
Add_348,7.6825
Relu_349,6.6451
Conv_350,97.5243
Relu_351,6.9363
Conv_352,27.099
Relu_353,6.222
Conv_354,92.7073
Add_355,7.599600000000001
Relu_356,6.7123
GlobalAveragePool_357,7.2043
Flatten_358,8.299
Gemm_359,20.6155
Softmax_360,7.5941
