node,latency
Conv_0,359.1802
Sigmoid_1,560.5034
Mul_2,801.7753
Conv_3,972.692
Sigmoid_4,560.3048
Mul_5,795.8081999999999
Conv_6,1883.7046
Sigmoid_7,1114.1351000000002
Mul_8,1599.2306
Conv_9,2667.7991
Sigmoid_10,558.5228000000001
Mul_11,800.3897
Conv_12,398.3068
Sigmoid_13,257.9839
Mul_14,418.4185
Conv_15,413.345
Sigmoid_16,258.2548
Mul_17,417.578
Conv_18,792.093
Sigmoid_19,259.9179
Mul_20,417.9579
Conv_21,277.932
Sigmoid_22,261.3315
Mul_23,417.3503
Conv_24,253.81310000000002
Sigmoid_25,257.76439999999997
Mul_26,418.3896
Add_27,417.6923
Conv_28,747.6951
Sigmoid_29,258.0066
Mul_30,417.26570000000004
Conv_31,277.9499
Sigmoid_32,256.5223
Mul_33,415.78909999999996
Conv_34,252.4702
Sigmoid_35,257.1127
Mul_36,415.5543
Add_37,417.83340000000004
Conv_38,790.7787
Sigmoid_39,259.7352
Mul_40,417.0785
Conv_41,280.2278
Sigmoid_42,258.2426
Mul_43,420.63309999999996
Conv_44,252.1549
Sigmoid_45,258.396
Mul_46,417.0703
Add_47,417.4597
Conv_48,743.9997
Sigmoid_49,258.9105
Mul_50,416.5986
Conv_51,278.7553
Sigmoid_52,258.4525
Mul_53,412.6156
Conv_54,253.38770000000002
Sigmoid_55,257.6966
Mul_56,414.9072
Add_57,420.1253
Concat_58,567.7019
GlobalAveragePool_59,270.9722
Conv_60,7.5746
HardSigmoid_61,7.3216
Mul_62,562.0374
Conv_63,633.7494
Sigmoid_64,558.3705
Mul_65,802.5153
Conv_66,1340.1263999999999
Sigmoid_67,259.5644
Mul_68,412.1207
Conv_69,155.589
Sigmoid_70,18.049
Mul_71,30.785
Conv_72,156.7547
Sigmoid_73,18.9523
Mul_74,29.7939
Conv_75,485.8122
Sigmoid_76,18.9889
Mul_77,30.6807
Conv_78,46.185199999999995
Sigmoid_79,18.8116
Mul_80,30.5084
Conv_81,80.421
Sigmoid_82,19.0263
Mul_83,30.6769
Add_84,29.8997
Conv_85,486.938
Sigmoid_86,18.835900000000002
Mul_87,31.0694
Conv_88,46.5634
Sigmoid_89,18.751
Mul_90,30.5932
Conv_91,80.5262
Sigmoid_92,18.3489
Mul_93,31.2765
Add_94,30.273400000000002
Conv_95,648.1698
Sigmoid_96,19.0652
Mul_97,30.9515
Conv_98,46.5549
Sigmoid_99,19.2201
Mul_100,30.0954
Conv_101,81.0149
Sigmoid_102,19.0317
Mul_103,30.910400000000003
Add_104,30.3101
Conv_105,648.3723
Sigmoid_106,19.080599999999997
Mul_107,31.2484
Conv_108,46.6784
Sigmoid_109,19.1189
Mul_110,30.042900000000003
Conv_111,80.88380000000001
Sigmoid_112,18.821099999999998
Mul_113,31.0819
Add_114,30.2179
Conv_115,489.0052
Sigmoid_116,19.203799999999998
Mul_117,31.1452
Conv_118,46.4077
Sigmoid_119,18.720299999999998
Mul_120,29.9897
Conv_121,81.1109
Sigmoid_122,18.9372
Mul_123,31.186799999999998
Add_124,30.2446
Conv_125,647.6878
Sigmoid_126,18.78
Mul_127,31.0291
Conv_128,46.5316
Sigmoid_129,19.130599999999998
Mul_130,30.0381
Conv_131,80.93860000000001
Sigmoid_132,18.807599999999997
Mul_133,31.0222
Add_134,29.8353
Conv_135,486.489
Sigmoid_136,18.7595
Mul_137,31.0766
Conv_138,46.2909
Sigmoid_139,18.9402
Mul_140,30.3052
Conv_141,80.51989999999999
Sigmoid_142,18.8796
Mul_143,30.8292
Add_144,30.3094
Conv_145,485.5881
Sigmoid_146,18.8123
Mul_147,31.0074
Conv_148,45.8529
Sigmoid_149,18.6903
Mul_150,29.849400000000003
Conv_151,80.4725
Sigmoid_152,18.904
Mul_153,30.6839
Add_154,29.9202
Concat_155,253.7091
GlobalAveragePool_156,21.9896
Conv_157,7.5978
HardSigmoid_158,7.3027
Mul_159,259.6429
Conv_160,324.0211
Sigmoid_161,261.16339999999997
Mul_162,414.7553
Conv_163,913.7038
Sigmoid_164,19.142400000000002
Mul_165,30.9984
Conv_166,116.61330000000001
Sigmoid_167,10.831100000000001
Mul_168,14.0355
Conv_169,115.5505
Sigmoid_170,10.501100000000001
Mul_171,13.9558
Conv_172,369.5583
Sigmoid_173,11.127799999999999
Mul_174,14.041799999999999
Conv_175,23.417099999999998
Sigmoid_176,10.9701
Mul_177,13.874799999999999
Conv_178,61.677800000000005
Sigmoid_179,10.8824
Mul_180,14.2064
Add_181,13.9026
Conv_182,386.17909999999995
Sigmoid_183,10.690700000000001
Mul_184,13.974
Conv_185,23.4483
Sigmoid_186,10.706700000000001
Mul_187,14.0516
Conv_188,62.1439
Sigmoid_189,10.6969
Mul_190,13.924
Add_191,14.0195
Conv_192,369.3043
Sigmoid_193,10.787700000000001
Mul_194,13.9994
Conv_195,23.842200000000002
Sigmoid_196,10.8128
Mul_197,14.1334
Conv_198,61.8913
Sigmoid_199,10.7503
Mul_200,14.061399999999999
Add_201,13.9391
Conv_202,385.79409999999996
Sigmoid_203,10.944700000000001
Mul_204,14.1175
Conv_205,23.7595
Sigmoid_206,10.7043
Mul_207,13.779
Conv_208,62.3709
Sigmoid_209,10.774899999999999
Mul_210,14.0431
Add_211,13.9626
Conv_212,385.62379999999996
Sigmoid_213,10.8455
Mul_214,14.0027
Conv_215,23.3725
Sigmoid_216,10.780100000000001
Mul_217,14.0383
Conv_218,62.4281
Sigmoid_219,10.9084
Mul_220,14.019200000000001
Add_221,13.985899999999999
Conv_222,377.3324
Sigmoid_223,10.8796
Mul_224,14.0045
Conv_225,23.8387
Sigmoid_226,10.330200000000001
Mul_227,14.1089
Conv_228,62.5589
Sigmoid_229,10.847299999999999
Mul_230,13.9495
Add_231,13.908700000000001
Conv_232,385.255
Sigmoid_233,10.7652
Mul_234,13.9055
Conv_235,23.6858
Sigmoid_236,10.715399999999999
Mul_237,14.0726
Conv_238,63.2142
Sigmoid_239,10.4589
Mul_240,14.0465
Add_241,13.9547
Conv_242,386.0242
Sigmoid_243,10.3889
Mul_244,13.906799999999999
Conv_245,23.5972
Sigmoid_246,11.4947
Mul_247,13.926
Conv_248,62.8035
Sigmoid_249,10.770299999999999
Mul_250,14.014100000000001
Add_251,13.7569
Concat_252,19.140900000000002
GlobalAveragePool_253,13.9536
Conv_254,7.7078999999999995
HardSigmoid_255,7.3348
Mul_256,31.3068
Conv_257,204.4889
Sigmoid_258,18.8163
Mul_259,48.7549
Conv_260,859.4479
Sigmoid_261,11.0061
Mul_262,13.9022
Conv_263,118.2457
Sigmoid_264,7.154
Mul_265,8.6923
MaxPool_266,35.768800000000006
MaxPool_267,79.1509
MaxPool_268,141.103
Concat_269,22.316
Conv_270,422.7704
Sigmoid_271,11.3941
Mul_272,13.9476
Conv_273,118.0512
Sigmoid_274,7.3356
Mul_275,8.4427
Conv_276,110.2968
Sigmoid_277,7.205
Mul_278,10.3424
Conv_279,449.9819
Sigmoid_280,7.559699999999999
Mul_281,8.434899999999999
Conv_282,21.1
Sigmoid_283,7.2715
Mul_284,8.4786
Conv_285,63.880900000000004
Sigmoid_286,7.2061
Mul_287,8.5172
Conv_288,449.9606
Sigmoid_289,7.2154
Mul_290,8.5384
Conv_291,21.1561
Sigmoid_292,7.287
Mul_293,8.5379
Conv_294,62.8605
Sigmoid_295,7.1647
Mul_296,8.4661
Conv_297,448.7733
Sigmoid_298,7.451
Mul_299,8.442
Conv_300,21.4527
Sigmoid_301,8.9703
Mul_302,8.4282
Conv_303,62.6158
Sigmoid_304,7.4288
Mul_305,8.4804
