node,latency
Conv_0,741.2986999999999
Sigmoid_1,873.3136
Mul_2,1333.3266
Conv_3,2819.0038
Sigmoid_4,872.6872
Mul_5,1332.7461
Conv_6,4982.9788
Sigmoid_7,1743.3203
Mul_8,2661.7153
Conv_9,8016.0329
Sigmoid_10,873.2081999999999
Mul_11,1334.4911000000002
Conv_12,858.2579000000001
Sigmoid_13,438.3662
Mul_14,666.2651
Conv_15,849.6588
Sigmoid_16,438.1993
Mul_17,669.9271
Conv_18,1714.349
Sigmoid_19,438.031
Mul_20,667.0051
Conv_21,546.6251
Sigmoid_22,438.30890000000005
Mul_23,669.6886999999999
Conv_24,524.7596
Sigmoid_25,438.48240000000004
Mul_26,666.0852
Add_27,666.8942
Conv_28,1725.8936999999999
Sigmoid_29,438.15409999999997
Mul_30,666.5649000000001
Conv_31,546.5835
Sigmoid_32,438.6165
Mul_33,666.2053000000001
Conv_34,524.2302
Sigmoid_35,438.6728
Mul_36,666.0735999999999
Add_37,665.8411
Conv_38,1731.4302
Sigmoid_39,438.0546
Mul_40,666.1675
Conv_41,543.2068
Sigmoid_42,438.3082
Mul_43,666.2434000000001
Conv_44,524.9374
Sigmoid_45,438.5261
Mul_46,666.2872
Add_47,666.3248000000001
Conv_48,1715.7775
Sigmoid_49,438.6082
Mul_50,666.3604
Conv_51,548.0515
Sigmoid_52,438.3512
Mul_53,667.2136999999999
Conv_54,525.537
Sigmoid_55,438.967
Mul_56,666.157
Add_57,665.9686999999999
Concat_58,876.2097
GlobalAveragePool_59,465.5771
Conv_60,6.6146
HardSigmoid_61,6.4727
Mul_62,877.104
Conv_63,1513.758
Sigmoid_64,872.6579
Mul_65,1331.8237
Conv_66,6452.4317
Sigmoid_67,438.1397
Mul_68,667.8539000000001
Conv_69,717.5525
Sigmoid_70,220.73270000000002
Mul_71,334.74629999999996
Conv_72,715.2312
Sigmoid_73,221.2608
Mul_74,335.0075
Conv_75,1274.4704
Sigmoid_76,221.10989999999998
Mul_77,334.44840000000005
Conv_78,318.395
Sigmoid_79,220.8531
Mul_80,335.1006
Conv_81,396.3948
Sigmoid_82,221.26829999999998
Mul_83,334.532
Add_84,334.9898
Conv_85,1274.8545
Sigmoid_86,221.98579999999998
Mul_87,334.7149
Conv_88,315.243
Sigmoid_89,220.93689999999998
Mul_90,335.1743
Conv_91,396.2248
Sigmoid_92,220.8907
Mul_93,335.1225
Add_94,334.8403
Conv_95,1273.443
Sigmoid_96,220.7833
Mul_97,336.21229999999997
Conv_98,316.3671
Sigmoid_99,220.82410000000002
Mul_100,334.6639
Conv_101,395.837
Sigmoid_102,221.1382
Mul_103,334.8648
Add_104,334.66490000000005
Conv_105,1277.6431
Sigmoid_106,220.8893
Mul_107,334.74609999999996
Conv_108,313.4494
Sigmoid_109,220.8975
Mul_110,334.8211
Conv_111,393.49359999999996
Sigmoid_112,220.8713
Mul_113,334.64959999999996
Add_114,334.8316
Conv_115,1279.8887
Sigmoid_116,220.74929999999998
Mul_117,334.4087
Conv_118,316.5482
Sigmoid_119,221.0081
Mul_120,334.5912
Conv_121,395.9061
Sigmoid_122,220.7682
Mul_123,335.9231
Add_124,335.1148
Conv_125,1276.4596000000001
Sigmoid_126,220.7221
Mul_127,334.97409999999996
Conv_128,312.5162
Sigmoid_129,220.8452
Mul_130,335.2462
Conv_131,393.3246
Sigmoid_132,220.9951
Mul_133,337.3426
Add_134,335.6025
Conv_135,1271.7846000000002
Sigmoid_136,220.99329999999998
Mul_137,335.56870000000004
Conv_138,315.8948
Sigmoid_139,220.9838
Mul_140,335.61109999999996
Conv_141,395.1893
Sigmoid_142,220.8903
Mul_143,335.1248
Add_144,335.7186
Conv_145,1291.524
Sigmoid_146,220.8985
Mul_147,335.1915
Conv_148,314.3643
Sigmoid_149,220.771
Mul_150,335.7805
Conv_151,397.59
Sigmoid_152,221.077
Mul_153,335.6036
Add_154,335.5017
Concat_155,439.4769
GlobalAveragePool_156,277.2953
Conv_157,6.5665
HardSigmoid_158,7.035699999999999
Mul_159,444.0696
Conv_160,1220.0526
Sigmoid_161,438.2585
Mul_162,667.9676999999999
Conv_163,5894.4118
Sigmoid_164,220.845
Mul_165,335.4798
Conv_166,630.534
Sigmoid_167,112.32310000000001
Mul_168,169.197
Conv_169,622.5204
Sigmoid_170,112.15480000000001
Mul_171,169.4546
Conv_172,1481.5533
Sigmoid_173,112.3547
Mul_174,169.28
Conv_175,169.675
Sigmoid_176,112.3255
Mul_177,169.3846
Conv_178,319.84340000000003
Sigmoid_179,112.3277
Mul_180,169.6277
Add_181,169.26479999999998
Conv_182,1479.2241000000001
Sigmoid_183,112.3208
Mul_184,169.377
Conv_185,168.6234
Sigmoid_186,112.3592
Mul_187,169.6022
Conv_188,315.9493
Sigmoid_189,112.191
Mul_190,169.23870000000002
Add_191,169.1466
Conv_192,1488.8037
Sigmoid_193,112.2384
Mul_194,169.3985
Conv_195,168.9197
Sigmoid_196,112.3091
Mul_197,170.1453
Conv_198,316.236
Sigmoid_199,112.1958
Mul_200,169.27689999999998
Add_201,169.6566
Conv_202,1562.3898000000002
Sigmoid_203,112.4082
Mul_204,169.3056
Conv_205,168.64270000000002
Sigmoid_206,112.3601
Mul_207,169.21220000000002
Conv_208,317.3058
Sigmoid_209,112.3241
Mul_210,169.2925
Add_211,169.5913
Conv_212,1468.6342
Sigmoid_213,112.1678
Mul_214,169.4182
Conv_215,169.5284
Sigmoid_216,112.2969
Mul_217,169.113
Conv_218,318.71509999999995
Sigmoid_219,112.1643
Mul_220,168.91170000000002
Add_221,168.8326
Conv_222,1465.8682
Sigmoid_223,112.3858
Mul_224,168.8236
Conv_225,170.1391
Sigmoid_226,112.2662
Mul_227,169.125
Conv_228,316.24159999999995
Sigmoid_229,112.331
Mul_230,169.02929999999998
Add_231,169.6164
Conv_232,1455.8443
Sigmoid_233,112.2937
Mul_234,169.2195
Conv_235,169.81629999999998
Sigmoid_236,113.87660000000001
Mul_237,169.52370000000002
Conv_238,317.123
Sigmoid_239,112.5539
Mul_240,169.014
Add_241,168.997
Conv_242,1484.8661000000002
Sigmoid_243,112.4895
Mul_244,168.8876
Conv_245,169.65429999999998
Sigmoid_246,112.32730000000001
Mul_247,169.3378
Conv_248,318.3983
Sigmoid_249,112.2998
Mul_250,169.40470000000002
Add_251,169.2339
Concat_252,222.0295
GlobalAveragePool_253,158.3644
Conv_254,9.1899
HardSigmoid_255,5.9753
Mul_256,229.1711
Conv_257,1160.714
Sigmoid_258,221.0623
Mul_259,335.56109999999995
Conv_260,6632.294599999999
Sigmoid_261,112.3683
Mul_262,169.1205
Conv_263,611.5131
Sigmoid_264,57.745
Mul_265,86.37010000000001
MaxPool_266,190.99470000000002
MaxPool_267,469.22520000000003
MaxPool_268,890.0541
Concat_269,226.0826
Conv_270,2530.6519
Sigmoid_271,112.277
Mul_272,169.8925
Conv_273,620.8064
Sigmoid_274,57.8145
Mul_275,86.6243
Conv_276,611.7461
Sigmoid_277,59.2064
Mul_278,86.7483
Conv_279,2600.3597
Sigmoid_280,57.866099999999996
Mul_281,86.4945
Conv_282,95.5661
Sigmoid_283,57.780800000000006
Mul_284,86.62710000000001
Conv_285,324.02840000000003
Sigmoid_286,57.7812
Mul_287,86.9988
Conv_288,2454.4117
Sigmoid_289,57.9348
Mul_290,86.65639999999999
Conv_291,95.6911
Sigmoid_292,57.885
Mul_293,86.6147
Conv_294,333.4086
Sigmoid_295,57.874
Mul_296,86.67160000000001
Conv_297,2463.8547000000003
Sigmoid_298,57.9567
Mul_299,86.9945
Conv_300,95.6845
Sigmoid_301,57.9514
Mul_302,86.94810000000001
Conv_303,339.1253
Sigmoid_304,58.0914
Mul_305,86.5017
Conv_306,2399.2087
Sigmoid_307,57.958
Mul_308,86.3874
Conv_309,97.6674
Sigmoid_310,57.753
Mul_311,86.5398
Conv_312,332.2176
Sigmoid_313,57.7873
Mul_314,86.5441
Concat_315,113.719
GlobalAveragePool_316,102.919
Conv_317,53.694300000000005
HardSigmoid_318,6.4674
Mul_319,115.8643
Conv_320,1204.934
Sigmoid_321,112.2615
Mul_322,169.6085
Conv_323,612.808
Sigmoid_324,57.821
Mul_325,86.686
Resize_327,143.0104
Concat_328,439.3057
Conv_329,1182.6413
