node,latency
Conv_0,428.6543
Sigmoid_1,535.8104000000001
Mul_2,768.4008
Conv_3,2814.8397
Sigmoid_4,538.8296
Mul_5,767.7632
Conv_6,5027.107599999999
Sigmoid_7,1069.7305
Mul_8,1536.379
Conv_9,4528.527599999999
Sigmoid_10,539.076
Mul_11,768.6294
Conv_12,590.4771
Sigmoid_13,269.4685
Mul_14,385.9497
Conv_15,592.1583
Sigmoid_16,269.57370000000003
Mul_17,386.0132
Conv_18,1645.9793
Sigmoid_19,269.75870000000003
Mul_20,386.8442
Conv_21,344.5097
Sigmoid_22,268.8482
Mul_23,385.6425
Conv_24,333.51590000000004
Sigmoid_25,269.1918
Mul_26,387.079
Add_27,386.1055
Conv_28,1521.7941
Sigmoid_29,269.7397
Mul_30,387.746
Conv_31,343.7715
Sigmoid_32,268.9326
Mul_33,385.98609999999996
Conv_34,328.7409
Sigmoid_35,269.3525
Mul_36,386.1949
Add_37,386.1195
Conv_38,1566.1209
Sigmoid_39,268.8754
Mul_40,385.8153
Conv_41,342.1036
Sigmoid_42,273.3608
Mul_43,389.53159999999997
Conv_44,328.1415
Sigmoid_45,269.4925
Mul_46,385.9122
Add_47,386.03290000000004
Conv_48,1586.239
Sigmoid_49,268.9985
Mul_50,386.0597
Conv_51,344.747
Sigmoid_52,268.85220000000004
Mul_53,386.1394
Conv_54,328.65520000000004
Sigmoid_55,269.5355
Mul_56,386.34659999999997
Add_57,386.11
Concat_58,539.2189000000001
GlobalAveragePool_59,271.5043
Conv_60,7.1051
HardSigmoid_61,6.3375
Mul_62,593.8354
Conv_63,941.7648
Sigmoid_64,537.3513
Mul_65,768.8128
Conv_66,5146.9946
Sigmoid_67,269.7482
Mul_68,386.115
Conv_69,493.9597
Sigmoid_70,136.1704
Mul_71,195.3209
Conv_72,485.94390000000004
Sigmoid_73,135.9422
Mul_74,195.1864
Conv_75,1156.7868999999998
Sigmoid_76,136.4058
Mul_77,195.6978
Conv_78,165.2019
Sigmoid_79,136.4005
Mul_80,195.1439
Conv_81,258.9933
Sigmoid_82,135.8501
Mul_83,194.9271
Add_84,195.1214
Conv_85,1167.1745
Sigmoid_86,136.3171
Mul_87,194.9114
Conv_88,165.818
Sigmoid_89,135.9822
Mul_90,194.90220000000002
