node,latency
Conv_0,173.19039999999998
Sigmoid_1,161.7814
Mul_2,240.8285
Conv_3,790.1388000000001
Sigmoid_4,161.8413
Mul_5,240.8373
Conv_6,1176.012
Sigmoid_7,318.6053
Mul_8,478.06359999999995
Conv_9,1791.0394
Sigmoid_10,161.9458
Mul_11,240.4144
Conv_12,264.57779999999997
Sigmoid_13,83.0292
Mul_14,123.101
Conv_15,264.39570000000003
Sigmoid_16,82.9341
Mul_17,123.1213
Conv_18,538.2398000000001
Sigmoid_19,82.7979
Mul_20,123.06269999999999
Conv_21,112.43469999999999
Sigmoid_22,82.8961
Mul_23,122.79560000000001
Conv_24,151.7568
Sigmoid_25,83.1542
Mul_26,122.9093
Add_27,123.2892
Conv_28,542.6413
Sigmoid_29,82.8547
Mul_30,123.02510000000001
Conv_31,112.7584
Sigmoid_32,83.20689999999999
Mul_33,122.98360000000001
Conv_34,151.3084
Sigmoid_35,82.7889
Mul_36,123.01389999999999
Add_37,122.8986
Conv_38,546.5602
Sigmoid_39,82.806
Mul_40,123.12060000000001
Conv_41,111.9229
Sigmoid_42,83.0801
Mul_43,124.10310000000001
Conv_44,151.69979999999998
Sigmoid_45,82.8352
Mul_46,122.9858
Add_47,123.0103
Conv_48,542.8167
Sigmoid_49,83.7258
Mul_50,123.1069
Conv_51,112.75280000000001
Sigmoid_52,83.4132
Mul_53,123.2086
Conv_54,152.9137
Sigmoid_55,82.88810000000001
Mul_56,123.41680000000001
Add_57,124.2772
Concat_58,168.0468
GlobalAveragePool_59,106.05539999999999
Conv_60,6.8013
HardSigmoid_61,7.6306
Mul_62,185.35160000000002
Conv_63,432.1655
Sigmoid_64,161.3824
Mul_65,240.9354
Conv_66,1722.3019
Sigmoid_67,82.9971
Mul_68,123.0877
Conv_69,234.00039999999998
Sigmoid_70,43.4889
Mul_71,64.1522
Conv_72,235.7716
Sigmoid_73,43.3551
Mul_74,63.6096
Conv_75,430.4473
Sigmoid_76,43.3846
Mul_77,64.2747
Conv_78,60.8382
Sigmoid_79,43.813300000000005
Mul_80,63.649
Conv_81,123.9112
Sigmoid_82,44.0792
Mul_83,63.561
Add_84,63.5657
Conv_85,432.0757
Sigmoid_86,43.5652
Mul_87,63.8239
Conv_88,60.9063
Sigmoid_89,43.4341
Mul_90,63.605599999999995
Conv_91,129.70680000000002
