node,latency
Conv_1,1743.3031
Relu_2,1994.6068
MaxPool_3,1159.4745
Conv_4,497.108
Relu_5,510.0484
Conv_6,883.3608
Relu_7,505.2193
Conv_8,1228.4687
Conv_9,1228.2163
Add_10,2875.2398
Relu_11,1982.5921
Conv_12,1156.1538
Relu_13,504.6396
Conv_14,884.8833000000001
Relu_15,504.1701
Conv_16,1245.3488
Add_17,2901.8988999999997
Relu_18,1983.3595
Conv_19,1152.0233
Relu_20,504.8602
Conv_21,880.4639
Relu_22,504.39090000000004
Conv_23,1234.1547
Add_24,2898.0372
Relu_25,1992.1666
Conv_26,619.2436
Relu_27,235.978
Conv_28,681.7208
Relu_29,235.4923
Conv_30,630.5363000000001
Conv_31,1046.0599
Add_32,1445.576
Relu_33,993.9590999999999
Conv_34,588.8486
Relu_35,235.15279999999998
Conv_36,684.1348
Relu_37,236.704
Conv_38,631.4619
Add_39,1449.2175
Relu_40,995.8417
Conv_41,588.8921
Relu_42,234.3731
Conv_43,693.9712
Relu_44,237.3196
Conv_45,633.0801
Add_46,1447.6238
Relu_47,1004.0686
Conv_48,589.9298
Relu_49,209.0606
Conv_50,689.8476999999999
Relu_51,209.4038
Conv_52,631.8805
Add_53,1451.4559
Relu_54,995.4602
Conv_55,368.3126
Relu_56,16.8873
Conv_57,437.52959999999996
Relu_58,16.054299999999998
Conv_59,409.2226
Conv_60,704.5137
Add_61,710.956
Relu_62,500.4669
Conv_63,314.28929999999997
Relu_64,17.360799999999998
Conv_65,444.3138
Relu_66,16.658
Conv_67,408.7741
Add_68,714.0617
Relu_69,497.2238
Conv_70,315.03790000000004
Relu_71,15.9716
Conv_72,442.97409999999996
Relu_73,16.8195
Conv_74,408.28520000000003
Add_75,713.3696
Relu_76,500.78229999999996
Conv_77,314.6563
Relu_78,16.971400000000003
Conv_79,584.2527
Relu_80,16.8341
Conv_81,408.6259
Add_82,715.1285
Relu_83,498.3487
Conv_84,314.4639
Relu_85,16.738799999999998
Conv_86,584.8831
Relu_87,16.836
Conv_88,407.8687
Add_89,719.5135
Relu_90,504.9881
Conv_91,314.37379999999996
Relu_92,16.1142
Conv_93,441.8635
Relu_94,17.1056
Conv_95,408.83279999999996
Add_96,715.4236
Relu_97,503.94509999999997
Conv_98,161.40970000000002
Relu_99,9.8071
Conv_100,403.5673
Relu_101,9.886
Conv_102,248.4268
Conv_103,630.5283000000001
Add_104,362.3244
Relu_105,229.6831
Conv_106,254.16639999999998
Relu_107,9.7291
Conv_108,406.8612
Relu_109,10.0586
Conv_110,251.3465
Add_111,359.621
Relu_112,230.44629999999998
Conv_113,259.0261
Relu_114,9.907200000000001
Conv_115,396.9074
Relu_116,10.0284
Conv_117,253.9855
Add_118,364.2331
Relu_119,230.2689
ConvTranspose_120,2379.6729
Relu_121,16.9911
Shape_122,7.6051
Gather_123,9.581299999999999
Shape_124,7.2067
Slice_127,7.9996
Cast_128,7.8244
Concat_129,11.9761
Resize_131,500.3989
Concat_132,621.9327
Conv_133,1941.7893000000001
Relu_134,626.0339
Conv_135,1725.7247
Relu_136,10.126
ConvTranspose_137,494.2098
Relu_138,227.985
Shape_139,7.086399999999999
Gather_140,8.7639
Shape_141,6.8504
Slice_142,7.6268
Cast_143,7.8428
Concat_144,11.235
Resize_145,991.5264
Concat_146,1237.5634
Conv_147,1955.1124
Relu_148,1244.4675
Conv_149,2153.5258
Relu_150,16.993299999999998
ConvTranspose_151,1157.2298
Relu_152,499.0208
Shape_153,7.6183000000000005
Gather_154,9.5005
Shape_155,6.79
Slice_156,7.6484
Cast_157,7.941
Concat_158,11.2295
Resize_159,1984.8131
Concat_160,2464.7935
Conv_161,2968.7335
Relu_162,2490.0722
Conv_163,2896.4975
Relu_164,231.15079999999998
ConvTranspose_165,2412.2726000000002
Relu_166,1000.0151
Conv_167,996.495
Relu_168,994.6661
Conv_169,1224.5908
Relu_170,992.9757
ConvTranspose_171,12173.4681
Conv_172,2107.9745
