node,latency
Conv_1,5092.9666
Relu_2,3123.9204
MaxPool_3,2144.5986000000003
Conv_4,853.8464
Relu_5,783.706
Conv_6,2520.9196
Relu_7,783.658
Conv_8,2555.6378
Conv_9,2651.7755
Add_10,4770.402700000001
Relu_11,3124.1088
Conv_12,2161.1794
Relu_13,783.9194
Conv_14,2534.5489
Relu_15,784.1456
Conv_16,2603.1041
Add_17,4772.9981
Relu_18,3125.6162000000004
Conv_19,2166.8653
Relu_20,784.3446
Conv_21,2517.9391
Relu_22,783.8673
Conv_23,2536.9235
Add_24,4772.660599999999
Relu_25,3123.8094
Conv_26,1165.0093
Relu_27,394.0572
Conv_28,2277.186
Relu_29,394.1568
Conv_30,1885.4925
Conv_31,3744.4624
Add_32,2387.5517999999997
Relu_33,1563.4173
Conv_34,1642.9991
Relu_35,393.6488
Conv_36,2293.0051000000003
Relu_37,394.59770000000003
Conv_38,1877.3456999999999
Add_39,2387.8897
Relu_40,1563.5188
Conv_41,1639.3337
Relu_42,393.9905
Conv_43,2313.768
Relu_44,393.79220000000004
Conv_45,1886.6361000000002
Add_46,2391.2479
Relu_47,1563.5101000000002
Conv_48,1642.473
Relu_49,393.6826
Conv_50,2289.9597999999996
Relu_51,394.0247
Conv_52,1879.1078
Add_53,2387.4409
Relu_54,1563.6273
Conv_55,877.3447
Relu_56,198.84189999999998
Conv_57,2183.1799
Relu_58,198.7403
Conv_59,1786.358
Conv_60,3540.237
Add_61,1191.0692
Relu_62,784.8231
Conv_63,1586.5182
Relu_64,199.5466
Conv_65,2147.9505
Relu_66,199.58270000000002
Conv_67,1771.8759
Add_68,1194.0983
Relu_69,783.8339
Conv_70,1586.0876
Relu_71,198.62920000000003
Conv_72,2110.3498
Relu_73,198.7502
Conv_74,1748.4449
Add_75,1191.8918999999999
Relu_76,783.8366
Conv_77,1592.8424
Relu_78,198.56810000000002
Conv_79,2159.3121
Relu_80,198.758
Conv_81,1760.0551
Add_82,1190.889
Relu_83,783.5961
Conv_84,1585.3748
Relu_85,198.6369
Conv_86,2115.5845
Relu_87,198.7039
Conv_88,1756.7228
Add_89,1195.0513
Relu_90,784.5462
Conv_91,1587.7431000000001
Relu_92,198.8836
Conv_93,2270.0667000000003
Relu_94,199.6389
Conv_95,1740.7702
Add_96,1192.4598999999998
Relu_97,783.4433
Conv_98,829.0651
Relu_99,101.5119
Conv_100,2625.1702
Relu_101,101.211
Conv_102,1798.0538999999999
Conv_103,3476.7554
Add_104,600.882
Relu_105,394.417
Conv_106,1610.4633999999999
Relu_107,101.48110000000001
Conv_108,2520.0989
Relu_109,101.48219999999999
Conv_110,1794.0969
Add_111,600.3193
Relu_112,393.7002
Conv_113,1587.8994
Relu_114,101.3451
Conv_115,2505.863
Relu_116,101.2242
Conv_117,1785.5981000000002
Add_118,599.2348000000001
Relu_119,393.67409999999995
ConvTranspose_120,17594.9737
Relu_121,201.7783
Shape_122,10.0806
Gather_123,7.5892
Shape_124,10.629299999999999
Slice_127,8.8397
Cast_128,8.3126
Concat_129,9.7691
Resize_131,803.1236
Concat_132,998.971
Conv_133,11446.1015
Relu_134,980.2135999999999
Conv_135,6271.5025
Relu_136,101.281
ConvTranspose_137,2701.8077000000003
Relu_138,393.79970000000003
Shape_139,6.609
Gather_140,8.370899999999999
Shape_141,6.647
Slice_142,7.2655
Cast_143,8.2566
Concat_144,11.078
Resize_145,1603.2049
Concat_146,1994.5971000000002
Conv_147,11929.0832
Relu_148,1954.7887
Conv_149,7049.3064
Relu_150,199.09179999999998
ConvTranspose_151,3712.4094
Relu_152,783.7937
Shape_153,6.724
Gather_154,8.474
Shape_155,6.2118
Slice_156,7.2421999999999995
Cast_157,6.988
Concat_158,11.8133
Resize_159,3206.0658
Concat_160,3976.5002000000004
Conv_161,13885.137
Relu_162,3905.635
Conv_163,7111.5302
Relu_164,393.89779999999996
ConvTranspose_165,5471.4662
Relu_166,1565.7301
Conv_167,1678.3569
Relu_168,1563.8952
Conv_169,4697.2597000000005
Relu_170,1563.6511
ConvTranspose_171,32327.7617
Conv_172,3969.7196
