node,latency
Conv_1,3322.7285
Relu_2,1912.7568999999999
MaxPool_3,1165.8151
Conv_4,543.4008
Relu_5,480.6203
Conv_6,2230.2266
Relu_7,483.6019
Conv_8,1449.5608
Conv_9,1518.4041000000002
Add_10,2740.3314
Relu_11,1913.1334
Conv_12,1264.8691999999999
Relu_13,481.33820000000003
Conv_14,2240.296
Relu_15,483.8413
Conv_16,1424.1521
Add_17,2739.2918999999997
Relu_18,1918.5603
Conv_19,1267.1033
Relu_20,480.749
Conv_21,2167.5162
Relu_22,480.6278
Conv_23,1458.1788000000001
Add_24,2742.1502
Relu_25,1914.4483
Conv_26,721.554
Relu_27,241.7824
Conv_28,1886.6221
Relu_29,243.5732
Conv_30,1214.4078
Conv_31,2428.6423999999997
Add_32,1378.0346000000002
Relu_33,961.1856
Conv_34,1106.3307
Relu_35,241.44910000000002
Conv_36,2031.9243999999999
Relu_37,242.59570000000002
Conv_38,1218.4587
Add_39,1378.229
Relu_40,959.2651999999999
Conv_41,1113.1972
Relu_42,242.8046
Conv_43,2069.4946999999997
Relu_44,242.3031
Conv_45,1225.9293
Add_46,1377.9285
Relu_47,961.1235
Conv_48,1107.7975
Relu_49,241.5736
Conv_50,2056.1401
Relu_51,242.1382
Conv_52,1257.6583999999998
Add_53,1378.1673
Relu_54,959.5339
Conv_55,590.6573000000001
Relu_56,122.5775
Conv_57,1812.7889
Relu_58,122.3015
Conv_59,1184.5716
Conv_60,2521.2977
Add_61,689.4227
Relu_62,481.1259
Conv_63,1099.645
Relu_64,122.0084
Conv_65,1817.1312
Relu_66,122.2733
Conv_67,1181.0168
Add_68,688.8798
Relu_69,481.2192
Conv_70,1100.4166
Relu_71,122.61210000000001
Conv_72,1772.0099
Relu_73,122.28580000000001
Conv_74,1236.1773
Add_75,689.2224
Relu_76,480.3974
Conv_77,1100.2723999999998
Relu_78,122.6465
Conv_79,1765.2304
Relu_80,122.24719999999999
Conv_81,1182.9703
Add_82,689.0759
Relu_83,481.10429999999997
Conv_84,1098.909
Relu_85,122.7
Conv_86,1692.4741000000001
Relu_87,122.7043
Conv_88,1180.1665
Add_89,689.1767
Relu_90,480.7674
Conv_91,1099.0097
Relu_92,122.5632
Conv_93,1715.5593000000001
Relu_94,122.282
Conv_95,1184.4563999999998
Add_96,692.782
Relu_97,481.19590000000005
Conv_98,588.1682
Relu_99,62.5295
Conv_100,2207.1533
Relu_101,63.039699999999996
Conv_102,1127.8633
Conv_103,2617.4818999999998
Add_104,347.1317
Relu_105,241.6922
Conv_106,1102.5152
Relu_107,62.497699999999995
Conv_108,2200.9277
Relu_109,62.375800000000005
Conv_110,1127.6792
Add_111,347.0543
Relu_112,241.4904
Conv_113,1116.0792
Relu_114,62.3635
Conv_115,2174.132
Relu_116,62.275400000000005
Conv_117,1135.5487
Add_118,347.2131
Relu_119,241.9376
ConvTranspose_120,13099.044
Relu_121,122.54889999999999
Shape_122,9.3555
Gather_123,7.671
Shape_124,6.270899999999999
Slice_127,8.731200000000001
Cast_128,7.1118999999999994
Concat_129,11.5664
Resize_131,485.4549
Concat_132,586.0339
Conv_133,11136.3647
Relu_134,600.3670999999999
Conv_135,6409.3947
Relu_136,62.6079
ConvTranspose_137,1810.8118
Relu_138,242.67579999999998
Shape_139,7.82
Gather_140,8.9006
Shape_141,7.119
Slice_142,7.2814
Cast_143,10.6095
Concat_144,11.0328
Resize_145,970.7452
Concat_146,1165.254
Conv_147,11640.989800000001
Relu_148,1198.4606
Conv_149,8479.089
Relu_150,122.2375
ConvTranspose_151,2436.2191000000003
Relu_152,483.985
Shape_153,6.953
Gather_154,9.584100000000001
Shape_155,6.6548
Slice_156,6.7461
Cast_157,8.2787
Concat_158,12.771700000000001
Resize_159,1937.8625
Concat_160,2348.3527000000004
Conv_161,13228.9241
Relu_162,2389.2044
Conv_163,8022.1162
Relu_164,242.9058
ConvTranspose_165,3890.6136
Relu_166,959.8479
Conv_167,1046.057
Relu_168,960.9904
Conv_169,3148.5657
Relu_170,967.3356
ConvTranspose_171,18580.9554
Conv_172,2201.3347999999996
