node,latency
Conv_1,1279.5568
Relu_2,568.5185
MaxPool_3,381.1172
Conv_4,176.319
Relu_5,145.4628
Conv_6,707.1694
Relu_7,145.56879999999998
Conv_8,579.7053000000001
Conv_9,582.9381999999999
Add_10,858.412
Relu_11,568.7486
Conv_12,536.65
Relu_13,145.468
Conv_14,714.6486
Relu_15,145.5014
Conv_16,578.3586
Add_17,857.9377
Relu_18,568.4554
Conv_19,537.8653
Relu_20,145.2045
Conv_21,708.3309
Relu_22,145.6081
Conv_23,577.6323000000001
Add_24,858.4215
Relu_25,568.6761
Conv_26,296.758
Relu_27,74.69839999999999
Conv_28,664.8022
Relu_29,74.6317
Conv_30,531.7895
Conv_31,1028.9273
Add_32,428.844
Relu_33,286.4396
Conv_34,553.0263
Relu_35,74.773
Conv_36,662.8799
Relu_37,74.65039999999999
Conv_38,531.3331999999999
Add_39,428.6729
Relu_40,286.5843
Conv_41,552.932
Relu_42,74.5798
Conv_43,667.2996999999999
Relu_44,74.489
Conv_45,529.7616999999999
Add_46,428.5956
Relu_47,286.30129999999997
Conv_48,554.5435
Relu_49,74.8287
Conv_50,664.7891
Relu_51,74.7171
Conv_52,529.7253000000001
Add_53,428.941
Relu_54,286.43859999999995
Conv_55,314.49309999999997
Relu_56,39.261199999999995
Conv_57,644.0049
Relu_58,39.342
Conv_59,537.6148000000001
Conv_60,1111.5765
Add_61,216.553
Relu_62,145.4628
Conv_63,642.0954
Relu_64,39.3596
Conv_65,643.0187
Relu_66,39.9914
Conv_67,534.1514
Add_68,216.60629999999998
Relu_69,145.3739
Conv_70,593.8887
Relu_71,39.9551
Conv_72,642.3072
Relu_73,39.2667
Conv_74,537.0516
Add_75,217.4102
Relu_76,145.5016
Conv_77,576.7514
Relu_78,39.2691
Conv_79,643.268
Relu_80,39.276900000000005
Conv_81,541.2266999999999
Add_82,216.3857
Relu_83,145.4206
Conv_84,577.5479
Relu_85,40.7368
Conv_86,642.6042
Relu_87,39.2533
Conv_88,535.2125
Add_89,216.53979999999999
Relu_90,145.39239999999998
Conv_91,641.2157
Relu_92,39.381800000000005
Conv_93,642.1105
Relu_94,39.3752
Conv_95,540.1735
Add_96,216.3663
Relu_97,145.4821
Conv_98,274.93640000000005
Relu_99,22.281
Conv_100,787.8371
Relu_101,21.511400000000002
Conv_102,577.301
Conv_103,1093.1091999999999
Add_104,111.27539999999999
Relu_105,74.8057
Conv_106,531.3471999999999
Relu_107,21.5488
Conv_108,788.4066
Relu_109,21.2747
Conv_110,576.6378000000001
Add_111,111.0364
Relu_112,74.8172
Conv_113,531.4191
Relu_114,21.5774
Conv_115,787.0858000000001
Relu_116,21.5055
Conv_117,578.8368
Add_118,111.11789999999999
Relu_119,81.6947
ConvTranspose_120,4743.3412
Relu_121,39.43
Shape_122,6.9045
Gather_123,7.7871999999999995
Shape_124,6.297
Slice_127,6.963
Cast_128,6.731
Concat_129,10.7479
Resize_131,147.9282
Concat_132,186.40789999999998
Conv_133,3211.0995
Relu_134,180.64929999999998
Conv_135,1462.3248999999998
Relu_136,21.4198
ConvTranspose_137,729.8175
Relu_138,74.8428
Shape_139,7.299
Gather_140,10.456700000000001
Shape_141,6.7184
Slice_142,7.2428
Cast_143,6.9062
Concat_144,10.0929
Resize_145,290.3047
Concat_146,367.1713
Conv_147,3181.8779
Relu_148,356.99879999999996
Conv_149,1534.4266
Relu_150,39.152
ConvTranspose_151,881.8566999999999
Relu_152,145.63629999999998
Shape_153,7.8694
Gather_154,8.4586
Shape_155,6.9092
Slice_156,7.1757
Cast_157,6.9496
Concat_158,10.869299999999999
Resize_159,575.3071
Concat_160,722.7386
Conv_161,3118.9183
Relu_162,709.8335999999999
Conv_163,1631.5311000000002
Relu_164,75.09230000000001
ConvTranspose_165,1170.3282
Relu_166,286.4854
Conv_167,323.2942
Relu_168,286.74359999999996
Conv_169,1028.6927
Relu_170,286.3796
ConvTranspose_171,5089.557599999999
Conv_172,799.8083
