node,latency
Conv_1,36.9756
Relu_2,18.8998
Conv_3,147.15429999999998
Relu_4,19.0518
Conv_5,262.5482
Relu_6,267.9599
MaxPool_7,33.3614
Conv_8,23.7702
Relu_9,10.859
Conv_10,125.6137
Relu_11,10.4058
Conv_12,161.0352
Conv_13,161.2985
Add_14,430.2857
Relu_15,266.0774
Conv_16,56.307199999999995
Relu_17,10.912
Conv_18,126.2114
Relu_19,11.326799999999999
Conv_20,161.512
Add_21,428.5149
Relu_22,265.1558
Conv_23,55.887800000000006
Relu_24,10.8292
Conv_25,125.111
Relu_26,11.065700000000001
Conv_27,159.8315
Add_28,427.7618
Relu_29,266.1329
Conv_30,112.4369
Relu_31,18.889400000000002
Conv_32,115.8061
Relu_33,7.3587
Conv_34,53.7774
Conv_35,109.31230000000001
Add_36,59.3494
Relu_37,19.3022
Conv_38,63.4036
Relu_39,7.368
Conv_40,106.9609
Relu_41,7.293
Conv_42,54.0181
Add_43,58.4022
Relu_44,19.2397
Conv_45,63.437400000000004
Relu_46,7.2975
Conv_47,106.1983
Relu_48,7.3036
Conv_49,53.859199999999994
Add_50,58.1713
Relu_51,19.2658
Conv_52,63.1571
Relu_53,7.351
Conv_54,107.6763
Relu_55,7.2778
Conv_56,53.595
Add_57,65.06569999999999
Relu_58,18.9245
Conv_59,97.7218
Relu_60,10.969700000000001
Conv_61,94.084
Relu_62,8.0489
Conv_63,50.2505
Conv_64,99.2763
Add_65,14.2611
Relu_66,11.1031
Conv_67,51.7771
Relu_68,7.9284
Conv_69,88.2551
Relu_70,7.0645
Conv_71,48.746300000000005
Add_72,14.3437
Relu_73,11.036100000000001
Conv_74,51.8404
Relu_75,7.456300000000001
Conv_76,88.1461
Relu_77,7.078399999999999
Conv_78,48.986599999999996
Add_79,14.1145
Relu_80,10.8316
Conv_81,51.491699999999994
Relu_82,7.0543000000000005
Conv_83,88.3672
Relu_84,7.0475
Conv_85,49.0459
Add_86,13.9405
Relu_87,10.780299999999999
