node,latency
Conv_1,202.5136
Relu_2,226.2161
Conv_3,593.1924
Relu_4,226.19170000000003
Conv_5,931.3578
Relu_6,449.61240000000004
MaxPool_7,306.6713
Conv_8,140.43970000000002
Relu_9,115.1972
Conv_10,327.6996
Relu_11,115.1125
Conv_12,382.33029999999997
Conv_13,383.4879
Add_14,682.5939000000001
Relu_15,450.3414
Conv_16,332.5647
Relu_17,115.1074
Conv_18,327.6787
Relu_19,115.2062
Conv_20,385.1284
Add_21,682.6203
Relu_22,449.2175
Conv_23,332.1462
Relu_24,115.0103
Conv_25,328.9728
Relu_26,115.1573
Conv_27,386.0883
Add_28,682.4987
Relu_29,449.34159999999997
Conv_30,514.6776
Relu_31,226.7654
Conv_32,562.1769
Relu_33,59.5504
Conv_34,283.5605
Conv_35,501.8615
Add_36,342.95090000000005
Relu_37,226.3224
Conv_38,266.09790000000004
Relu_39,59.8437
Conv_40,292.58840000000004
Relu_41,59.373
Conv_42,284.2578
Add_43,343.0703
Relu_44,226.3409
Conv_45,265.45309999999995
Relu_46,60.429199999999994
Conv_47,292.77279999999996
Relu_48,59.4401
Conv_49,285.52320000000003
Add_50,343.1657
Relu_51,226.2454
Conv_52,263.5262
Relu_53,59.4465
Conv_54,290.3523
Relu_55,59.381800000000005
Conv_56,284.2872
Add_57,343.0804
Relu_58,226.2663
Conv_59,503.609
Relu_60,114.9521
Conv_61,595.0881999999999
Relu_62,31.0609
Conv_63,256.3395
Conv_64,509.2973
Add_65,173.0927
Relu_66,115.1585
Conv_67,270.4845
Relu_68,31.4145
Conv_69,284.7472
Relu_70,31.5284
Conv_71,262.89279999999997
Add_72,173.4211
Relu_73,114.84219999999999
Conv_74,270.6986
Relu_75,31.0044
Conv_76,283.9686
Relu_77,31.2104
Conv_78,259.4201
Add_79,173.39370000000002
Relu_80,115.0471
Conv_81,272.1402
Relu_82,30.908900000000003
Conv_83,286.5289
Relu_84,31.1109
Conv_85,258.0956
Add_86,173.2843
Relu_87,115.083
Conv_88,270.9718
Relu_89,31.0136
Conv_90,288.08140000000003
Relu_91,31.110799999999998
Conv_92,258.213
Add_93,173.22279999999998
Relu_94,115.0023
Conv_95,270.6347
Relu_96,30.9046
Conv_97,286.20059999999995
Relu_98,31.2315
Conv_99,258.94689999999997
Add_100,173.3287
Relu_101,115.1555
Conv_102,271.46209999999996
Relu_103,31.161
Conv_104,286.52009999999996
Relu_105,31.2431
Conv_106,259.3119
Add_107,173.31889999999999
Relu_108,114.95710000000001
Conv_109,272.3218
Relu_110,31.1234
Conv_111,291.0719
Relu_112,31.101200000000002
Conv_113,261.0748
Add_114,173.246
Relu_115,114.9441
Conv_116,271.6917
Relu_117,30.8014
Conv_118,291.8054
Relu_119,31.1632
Conv_120,259.6759
Add_121,173.433
Relu_122,114.97619999999999
Conv_123,270.5702
Relu_124,31.265700000000002
Conv_125,285.0805
Relu_126,31.0572
Conv_127,257.963
Add_128,173.4255
Relu_129,115.06269999999999
Conv_130,275.4178
Relu_131,31.299400000000002
Conv_132,283.9357
Relu_133,31.1994
Conv_134,256.1173
Add_135,173.2583
Relu_136,115.0277
Conv_137,270.73109999999997
Relu_138,31.2688
Conv_139,284.69809999999995
Relu_140,31.127
Conv_141,259.2101
Add_142,173.37539999999998
Relu_143,114.95519999999999
Conv_144,271.49490000000003
Relu_145,31.6204
Conv_146,284.2845
Relu_147,30.899900000000002
Conv_148,263.2275
Add_149,173.3643
Relu_150,114.90960000000001
Conv_151,273.1595
Relu_152,31.3142
Conv_153,286.5458
Relu_154,31.1598
Conv_155,258.862
Add_156,173.54229999999998
Relu_157,115.0428
Conv_158,270.63759999999996
Relu_159,31.0334
Conv_160,285.05379999999997
Relu_161,31.3577
Conv_162,259.6546
Add_163,173.1873
Relu_164,114.8773
Conv_165,271.0057
Relu_166,31.2127
Conv_167,283.3633
Relu_168,31.238599999999998
Conv_169,258.983
Add_170,173.7332
Relu_171,114.986
Conv_172,271.6702
Relu_173,31.3737
Conv_174,289.9325
Relu_175,31.3021
Conv_176,262.95029999999997
Add_177,173.2773
Relu_178,115.2783
Conv_179,272.06109999999995
Relu_180,31.1861
Conv_181,287.28340000000003
Relu_182,31.4563
Conv_183,265.7755
Add_184,173.41320000000002
Relu_185,115.02369999999999
Conv_186,270.9123
Relu_187,31.0362
Conv_188,284.85990000000004
Relu_189,31.079
Conv_190,259.4352
Add_191,173.35320000000002
Relu_192,115.1855
Conv_193,270.76820000000004
Relu_194,31.2862
Conv_195,293.2906
Relu_196,30.7514
Conv_197,259.0594
Add_198,173.394
Relu_199,115.04769999999999
Conv_200,270.5292
Relu_201,31.1835
Conv_202,284.8374
Relu_203,31.0843
Conv_204,262.8433
Add_205,173.8045
Relu_206,115.0962
Conv_207,270.7415
Relu_208,31.1707
Conv_209,285.60470000000004
Relu_210,31.177599999999998
Conv_211,261.07529999999997
Add_212,173.3531
Relu_213,115.0883
Conv_214,270.7236
Relu_215,31.4181
Conv_216,286.6757
Relu_217,31.0842
Conv_218,262.0865
Add_219,175.5796
Relu_220,114.96889999999999
Conv_221,518.25
Relu_222,59.5102
Conv_223,659.8376999999999
Relu_224,7.3008999999999995
Conv_225,268.39279999999997
Conv_226,503.8168
Add_227,88.721
Relu_228,59.4845
Conv_229,321.8678
Relu_230,6.732600000000001
Conv_231,328.2571
Relu_232,6.8467
Conv_233,273.8707
Add_234,88.72319999999999
Relu_235,59.4306
Conv_236,322.23290000000003
Relu_237,6.7443
Conv_238,326.6963
Relu_239,7.5436000000000005
Conv_240,270.3489
Add_241,88.9072
Relu_242,59.433099999999996
Conv_243,1943.8164
Relu_244,894.0194
Conv_245,969.0784
Relu_246,226.3261
Conv_247,528.343
Relu_248,59.4304
GlobalAveragePool_249,41.467400000000005
Conv_250,37.1896
Relu_251,6.5922
Shape_252,6.5743
Gather_253,7.9576
Shape_254,6.6064
Slice_257,7.1867
Cast_258,7.163
Concat_259,10.655899999999999
Resize_261,15.7243
AveragePool_262,42.4694
Conv_263,50.8265
Relu_264,6.112
Shape_265,6.6248000000000005
Slice_266,7.171399999999999
Concat_267,10.428700000000001
Resize_268,13.928700000000001
AveragePool_269,42.5287
Conv_270,88.0975
Relu_271,5.9597
Shape_272,7.600899999999999
Slice_273,7.1385
Concat_274,10.6217
Resize_275,13.7655
AveragePool_276,47.161
Conv_277,178.0315
Relu_278,6.461
Shape_279,6.6785
Slice_280,7.126399999999999
Concat_281,10.3976
Resize_282,9.0438
Concat_283,119.6521
Conv_284,2524.6942000000004
Relu_285,6.8855
Shape_286,8.897
Gather_287,7.2409
Shape_288,6.173
Slice_289,7.2275
Cast_290,7.511
Concat_291,12.9208
Resize_292,45.8891
Add_293,88.38189999999999
Shape_294,6.579899999999999
Gather_295,8.1353
Shape_296,6.0793
Slice_297,7.0685
Cast_298,8.295200000000001
Concat_299,10.511
Resize_300,170.9932
Add_301,343.47659999999996
Shape_302,6.186
Gather_303,9.7582
Shape_304,6.5977
Slice_305,6.8224
Cast_306,6.3986
Concat_307,9.7775
Resize_308,670.4408000000001
Add_309,1359.8746
Conv_310,29261.7245
Relu_311,894.2067
Conv_312,6767.4718
Relu_313,226.3515
Conv_314,1098.2696
Relu_315,59.4516
Shape_316,8.555
Gather_317,8.7127
Cast_318,6.601100000000001
Concat_319,11.7704
Resize_320,731.3606
Shape_321,6.6058
Slice_322,7.4906999999999995
Concat_323,16.8583
Resize_324,671.2002
