node,latency
Conv_1,136.7765
Relu_2,136.93679999999998
Conv_3,415.20959999999997
Relu_4,139.3891
Conv_5,682.2112
Relu_6,275.27759999999995
MaxPool_7,166.9511
Conv_8,81.17989999999999
Relu_9,70.97710000000001
Conv_10,276.1413
Relu_11,71.559
Conv_12,207.2082
Conv_13,210.7981
Add_14,396.27209999999997
Relu_15,275.1274
Conv_16,204.09820000000002
Relu_17,71.1824
Conv_18,278.83590000000004
Relu_19,71.1173
Conv_20,207.0892
Add_21,396.0641
Relu_22,276.4474
Conv_23,203.5995
Relu_24,73.889
Conv_25,278.34709999999995
Relu_26,72.6466
Conv_27,207.795
Add_28,396.1663
Relu_29,275.50309999999996
Conv_30,354.9951
Relu_31,139.414
Conv_32,419.9012
Relu_33,36.7344
Conv_34,184.28320000000002
Conv_35,356.6514
Add_36,198.72570000000002
Relu_37,139.48520000000002
Conv_38,192.6343
Relu_39,36.7834
Conv_40,254.9051
Relu_41,36.7154
Conv_42,183.4818
Add_43,198.9031
Relu_44,139.3702
Conv_45,193.00910000000002
Relu_46,36.874199999999995
Conv_47,254.3929
Relu_48,36.758300000000006
Conv_49,183.8533
Add_50,198.91879999999998
Relu_51,139.4711
Conv_52,198.7604
Relu_53,37.7994
Conv_54,250.94879999999998
Relu_55,36.725699999999996
Conv_56,183.6902
Add_57,199.2893
Relu_58,139.3416
Conv_59,365.065
Relu_60,71.1115
Conv_61,410.7415
Relu_62,6.903899999999999
Conv_63,183.86339999999998
Conv_64,369.2812
Add_65,101.23689999999999
Relu_66,71.2317
Conv_67,184.4317
Relu_68,7.38
Conv_69,263.3263
Relu_70,6.7494
Conv_71,181.6756
Add_72,101.3065
Relu_73,71.319
Conv_74,184.1027
Relu_75,7.7977
Conv_76,261.4314
Relu_77,6.8603000000000005
Conv_78,181.5845
Add_79,101.3207
Relu_80,71.21310000000001
Conv_81,180.7825
Relu_82,7.0992
Conv_83,262.0671
Relu_84,6.799600000000001
Conv_85,169.2994
Add_86,101.5332
Relu_87,71.37289999999999
Conv_88,183.63379999999998
Relu_89,7.419
Conv_90,260.095
Relu_91,6.6236999999999995
Conv_92,181.6575
Add_93,101.18060000000001
Relu_94,71.9219
Conv_95,184.14
Relu_96,6.8042
Conv_97,261.1084
Relu_98,6.8436
Conv_99,182.70579999999998
Add_100,101.36189999999999
Relu_101,71.1382
Conv_102,184.3734
Relu_103,6.7427
Conv_104,259.7744
Relu_105,9.937299999999999
Conv_106,182.2572
Add_107,101.35810000000001
Relu_108,71.1703
Conv_109,182.08010000000002
Relu_110,7.8568
Conv_111,261.7283
Relu_112,7.2015
Conv_113,180.1262
Add_114,101.3022
Relu_115,72.1606
Conv_116,183.52020000000002
Relu_117,6.5448
Conv_118,259.3646
Relu_119,7.0086
Conv_120,181.59
Add_121,101.2585
Relu_122,71.1015
Conv_123,182.4105
Relu_124,6.774100000000001
Conv_125,260.1335
Relu_126,6.5092
Conv_127,179.092
Add_128,101.36760000000001
Relu_129,71.1968
Conv_130,183.41060000000002
Relu_131,6.5186
Conv_132,262.2175
Relu_133,7.283
Conv_134,182.2016
Add_135,101.4166
Relu_136,70.8996
Conv_137,184.5503
Relu_138,6.7599
Conv_139,261.9071
Relu_140,6.7148
Conv_141,181.8893
Add_142,101.23639999999999
Relu_143,71.22189999999999
Conv_144,184.26770000000002
Relu_145,7.268
Conv_146,261.3759
Relu_147,8.1171
Conv_148,182.0589
Add_149,101.1522
Relu_150,70.9147
Conv_151,184.19320000000002
Relu_152,7.1179
Conv_153,261.9178
Relu_154,8.6987
Conv_155,183.37120000000002
Add_156,101.22489999999999
Relu_157,71.1614
Conv_158,183.4295
Relu_159,6.701899999999999
Conv_160,261.1086
Relu_161,7.5309
Conv_162,181.6538
Add_163,101.7055
Relu_164,70.943
Conv_165,183.6456
Relu_166,6.583399999999999
Conv_167,261.6172
Relu_168,7.8738
Conv_169,172.76760000000002
Add_170,101.2674
Relu_171,71.1325
Conv_172,184.03320000000002
Relu_173,7.375100000000001
Conv_174,261.6799
Relu_175,6.964
Conv_176,181.21820000000002
Add_177,101.32169999999999
Relu_178,71.6297
Conv_179,183.16129999999998
Relu_180,7.242
Conv_181,261.2639
Relu_182,6.7681000000000004
Conv_183,181.66070000000002
Add_184,101.339
Relu_185,71.0252
Conv_186,184.1316
Relu_187,7.2848999999999995
Conv_188,260.1644
Relu_189,7.164
Conv_190,181.9065
Add_191,101.4987
Relu_192,71.2728
Conv_193,184.486
Relu_194,7.4082
Conv_195,259.9691
Relu_196,6.7187
Conv_197,182.524
Add_198,101.3162
Relu_199,71.1511
Conv_200,183.87470000000002
Relu_201,6.790100000000001
Conv_202,260.3668
Relu_203,6.9286
Conv_204,171.401
Add_205,101.3222
Relu_206,71.0987
Conv_207,184.7226
Relu_208,6.864
Conv_209,260.87829999999997
Relu_210,8.2805
Conv_211,181.0035
Add_212,101.38239999999999
Relu_213,71.24789999999999
Conv_214,183.3529
Relu_215,7.2222
Conv_216,261.7288
Relu_217,7.6353
Conv_218,182.17579999999998
Add_219,101.242
Relu_220,71.3689
Conv_221,367.3695
Relu_222,36.9377
Conv_223,453.7285
Relu_224,6.1873000000000005
Conv_225,186.3922
Conv_226,362.90590000000003
Add_227,52.692099999999996
Relu_228,36.7974
Conv_229,203.0555
Relu_230,7.0472
Conv_231,254.425
Relu_232,6.833699999999999
Conv_233,185.35070000000002
Add_234,52.5652
Relu_235,36.6554
Conv_236,204.4456
Relu_237,6.231199999999999
Conv_238,254.67870000000002
Relu_239,6.458
Conv_240,185.8003
Add_241,52.5169
Relu_242,36.666599999999995
Conv_243,1338.6935
Relu_244,549.4946
Conv_245,649.8198000000001
Relu_246,139.67839999999998
Conv_247,361.9867
Relu_248,37.043099999999995
GlobalAveragePool_249,10.6251
Conv_250,17.1668
Relu_251,7.363
Shape_252,7.382899999999999
Gather_253,9.6839
Shape_254,7.465
Slice_257,8.3395
Cast_258,8.350299999999999
Concat_259,11.436
Resize_261,7.028
AveragePool_262,14.1675
Conv_263,35.871199999999995
Relu_264,6.7608999999999995
Shape_265,6.925800000000001
Slice_266,7.789
Concat_267,13.1357
Resize_268,7.0883
AveragePool_269,19.397299999999998
Conv_270,46.7495
Relu_271,6.4525
Shape_272,6.914899999999999
Slice_273,7.8423
Concat_274,12.706700000000001
Resize_275,7.3553999999999995
AveragePool_276,27.4907
Conv_277,108.7653
Relu_278,6.2118
Shape_279,6.6965
Slice_280,8.8711
Concat_281,11.024299999999998
Resize_282,7.6494
Concat_283,75.8312
Conv_284,4337.5652
Relu_285,6.5943000000000005
Shape_286,6.3293
Gather_287,8.7678
Shape_288,7.0348999999999995
Slice_289,7.371899999999999
Cast_290,6.6388
Concat_291,13.487
Resize_292,28.652099999999997
Add_293,52.465199999999996
Shape_294,6.3991999999999996
Gather_295,8.383299999999998
Shape_296,6.598
Slice_297,7.8588000000000005
Cast_298,7.5036000000000005
Concat_299,11.7337
Resize_300,150.1694
Add_301,195.77429999999998
Shape_302,6.3
Gather_303,10.463899999999999
Shape_304,6.2403
Slice_305,6.848
Cast_306,6.7643
Concat_307,10.7449
Resize_308,500.7623
Add_309,780.5235
Conv_310,23760.2523
Relu_311,549.1461999999999
Conv_312,5734.5517
Relu_313,139.25560000000002
Conv_314,918.9754
Relu_315,36.671800000000005
Shape_316,6.6407
Gather_317,8.277899999999999
Cast_318,7.5948
Concat_319,11.616100000000001
Resize_320,405.36920000000003
Shape_321,7.024
Slice_322,8.9071
Concat_323,10.0165
Resize_324,405.44590000000005
Shape_325,6.1656
Slice_326,6.8987
Concat_327,10.6606
Resize_328,412.137
Concat_329,2127.0455
Conv_330,96007.6232
Relu_331,548.9948
Conv_332,279.9606
Shape_333,7.8181
Slice_334,7.3092
Concat_335,15.2322
Resize_336,243.95170000000002
ArgMax_337,422.22290000000004
