node,latency
Conv_1,44.7969
Relu_2,44.541199999999996
Conv_3,116.9648
Relu_4,44.4987
Conv_5,228.2047
Relu_6,84.7303
MaxPool_7,59.0366
Conv_8,36.7427
Relu_9,23.7353
Conv_10,104.82
Relu_11,87.31219999999999
Conv_12,93.44030000000001
Conv_13,94.7457
Add_14,125.4557
Relu_15,84.8338
Conv_16,101.9263
Relu_17,23.826
Conv_18,105.4906
Relu_19,23.6475
Conv_20,93.5381
Add_21,125.384
Relu_22,84.4775
Conv_23,101.5326
Relu_24,23.8637
Conv_25,105.0138
Relu_26,23.6586
Conv_27,93.1495
Add_28,125.5738
Relu_29,84.762
Conv_30,168.72920000000002
Relu_31,44.0989
Conv_32,205.8795
Relu_33,12.290299999999998
Conv_34,92.7181
Conv_35,169.3055
Add_36,64.917
Relu_37,44.296099999999996
Conv_38,97.2109
Relu_39,11.8795
Conv_40,109.0927
Relu_41,11.84
Conv_42,91.7605
Add_43,65.0076
Relu_44,44.314
Conv_45,98.23360000000001
Relu_46,11.9337
Conv_47,108.7688
Relu_48,12.2578
Conv_49,91.7684
Add_50,65.00880000000001
Relu_51,44.2071
Conv_52,97.2515
Relu_53,11.8399
Conv_54,108.4586
Relu_55,12.1141
Conv_56,91.3834
Add_57,64.9036
Relu_58,44.3528
Conv_59,186.4384
Relu_60,23.921
Conv_61,238.40779999999998
Relu_62,6.7847
Conv_63,98.8788
Conv_64,184.7988
Add_65,34.8306
Relu_66,23.8665
Conv_67,108.7554
Relu_68,6.7855
Conv_69,104.55260000000001
Relu_70,6.8012
Conv_71,98.7568
Add_72,34.9315
Relu_73,23.681900000000002
Conv_74,108.4408
Relu_75,7.406
Conv_76,104.4617
Relu_77,6.8176000000000005
Conv_78,99.01469999999999
Add_79,35.3747
Relu_80,23.8575
Conv_81,108.74839999999999
Relu_82,6.6308
Conv_83,104.4816
Relu_84,7.1065
Conv_85,98.6213
Add_86,34.9184
Relu_87,23.808
Conv_88,109.2177
Relu_89,6.6479
Conv_90,104.2921
Relu_91,6.4758000000000004
Conv_92,99.0081
Add_93,34.989599999999996
Relu_94,23.8823
Conv_95,108.40639999999999
Relu_96,6.4822
Conv_97,104.8299
Relu_98,8.122399999999999
Conv_99,98.9229
Add_100,34.9537
Relu_101,23.9138
Conv_102,108.61919999999999
Relu_103,6.742100000000001
Conv_104,104.6018
Relu_105,6.7626
Conv_106,100.08630000000001
Add_107,34.8014
Relu_108,23.697
Conv_109,108.68260000000001
Relu_110,7.3408
Conv_111,104.4909
Relu_112,6.3881000000000006
Conv_113,99.697
Add_114,34.6787
Relu_115,23.7308
Conv_116,108.614
Relu_117,6.552
Conv_118,105.5595
Relu_119,6.9394
Conv_120,98.8606
Add_121,35.0018
Relu_122,25.8431
Conv_123,108.26060000000001
Relu_124,6.2782
Conv_125,104.5443
Relu_126,7.361
Conv_127,98.9468
Add_128,34.9115
Relu_129,23.8004
Conv_130,108.5715
Relu_131,6.5081999999999995
Conv_132,104.44139999999999
Relu_133,6.4283
Conv_134,99.683
Add_135,34.9326
Relu_136,23.9065
Conv_137,108.2987
Relu_138,6.7263
Conv_139,105.0834
Relu_140,6.4998000000000005
Conv_141,98.9411
Add_142,34.944300000000005
Relu_143,23.8577
Conv_144,108.79589999999999
Relu_145,6.6171999999999995
Conv_146,105.88860000000001
Relu_147,7.1654
Conv_148,98.6205
Add_149,35.0092
Relu_150,23.9076
Conv_151,108.3532
Relu_152,6.5655
Conv_153,104.39580000000001
Relu_154,6.9247
Conv_155,98.9483
Add_156,34.801300000000005
Relu_157,23.7315
Conv_158,108.51939999999999
Relu_159,6.674
Conv_160,104.2642
Relu_161,6.708600000000001
Conv_162,98.9759
Add_163,34.8261
Relu_164,23.9465
Conv_165,108.593
Relu_166,6.5633
Conv_167,104.6514
Relu_168,6.5536
Conv_169,98.8433
Add_170,34.774699999999996
Relu_171,23.9019
Conv_172,108.3315
Relu_173,6.6613
Conv_174,104.43430000000001
Relu_175,6.768800000000001
Conv_176,99.0602
Add_177,34.9107
Relu_178,23.7535
Conv_179,108.1129
Relu_180,6.7866
Conv_181,104.6078
Relu_182,7.8567
Conv_183,98.85839999999999
Add_184,34.673300000000005
Relu_185,23.8395
Conv_186,108.6295
Relu_187,8.7766
Conv_188,104.5775
Relu_189,6.5625
Conv_190,98.83760000000001
Add_191,34.815
Relu_192,25.517799999999998
Conv_193,108.31569999999999
Relu_194,6.6533
Conv_195,104.3805
Relu_196,6.9327
Conv_197,99.0895
Add_198,35.7949
Relu_199,24.0227
Conv_200,108.322
Relu_201,6.5646
Conv_202,112.1552
Relu_203,6.6705
Conv_204,99.2836
Add_205,34.798300000000005
Relu_206,23.968700000000002
Conv_207,108.05980000000001
Relu_208,7.627
Conv_209,104.3726
Relu_210,8.597700000000001
Conv_211,98.7832
Add_212,34.6956
Relu_213,24.0158
Conv_214,108.652
Relu_215,6.6952
Conv_216,104.457
Relu_217,6.5299
Conv_218,98.744
Add_219,34.7948
Relu_220,23.787599999999998
Conv_221,183.1796
Relu_222,12.4645
Conv_223,225.0532
Relu_224,6.5379
Conv_225,96.8189
Conv_226,183.4058
Add_227,19.3412
Relu_228,12.302100000000001
Conv_229,103.9425
Relu_230,6.4183
Conv_231,106.47919999999999
Relu_232,6.3283000000000005
Conv_233,97.0714
Add_234,18.952599999999997
Relu_235,12.2071
Conv_236,103.0685
Relu_237,6.2543999999999995
Conv_238,106.50460000000001
Relu_239,6.4757
Conv_240,96.8995
Add_241,19.2342
Relu_242,12.3593
Conv_243,596.7090999999999
Relu_244,165.55829999999997
Conv_245,350.1105
Relu_246,44.346599999999995
Conv_247,182.85770000000002
Relu_248,12.1997
GlobalAveragePool_249,6.889399999999999
Conv_250,12.3055
Relu_251,7.1149
Shape_252,6.9433
Gather_253,8.976299999999998
Shape_254,7.0955
Slice_257,7.9429
Cast_258,8.228
Concat_259,12.549100000000001
Resize_261,7.5039
AveragePool_262,6.6263000000000005
Conv_263,21.3428
Relu_264,6.2598
Shape_265,6.743600000000001
Slice_266,8.054
Concat_267,11.456
Resize_268,7.1522
AveragePool_269,6.9643999999999995
Conv_270,30.3725
Relu_271,12.4549
Shape_272,8.121
Slice_273,7.529
Concat_274,10.993799999999998
Resize_275,6.9085
AveragePool_276,9.5996
Conv_277,60.8812
Relu_278,6.258100000000001
Shape_279,7.2634
Slice_280,8.9786
Concat_281,15.570200000000002
Resize_282,6.8979
Concat_283,31.8978
Conv_284,799.7446
Relu_285,6.3317
Shape_286,6.9931
Gather_287,8.302100000000001
Shape_288,6.7755
Slice_289,7.8704
Cast_290,7.469600000000001
Concat_291,12.6044
Resize_292,14.720600000000001
Add_293,19.838900000000002
Shape_294,7.144
Gather_295,9.632
Shape_296,7.237100000000001
Slice_297,8.6878
Cast_298,6.8327
Concat_299,11.4236
Resize_300,50.272800000000004
Add_301,65.05080000000001
Shape_302,7.0373
Gather_303,7.7686
Shape_304,6.4496
Slice_305,7.0246
Cast_306,6.765899999999999
Concat_307,13.1989
Resize_308,189.3581
Add_309,246.6343
Conv_310,5570.3551
Relu_311,165.4825
Conv_312,1296.9608999999998
Relu_313,44.4556
Conv_314,398.0029
Relu_315,12.129
Shape_316,6.6786
Gather_317,8.3126
