node,latency
/conv1/Conv,843.2806999999999
/relu/Relu,561.9146999999999
/maxpool/MaxPool,358.3098
/layer1/layer1.0/conv1/Conv,308.82820000000004
/layer1/layer1.0/relu/Relu,284.1606
/layer1/layer1.0/conv2/Conv,2576.0925
/layer1/layer1.0/relu_1/Relu,285.5877
/layer1/layer1.0/conv3/Conv,774.7946999999999
/layer1/layer1.0/downsample/downsample.0/Conv,538.9136
/layer1/layer1.0/Add,809.4780999999999
/layer1/layer1.0/relu_2/Relu,568.2283
/layer1/layer1.1/conv1/Conv,705.4932
/layer1/layer1.1/relu/Relu,283.8908
/layer1/layer1.1/conv2/Conv,2573.2069
/layer1/layer1.1/relu_1/Relu,285.8458
/layer1/layer1.1/conv3/Conv,772.3194
/layer1/layer1.1/Add,804.8949
/layer1/layer1.1/relu_2/Relu,565.1481
/layer1/layer1.2/conv1/Conv,708.089
/layer1/layer1.2/relu/Relu,284.1945
/layer1/layer1.2/conv2/Conv,2651.74
/layer1/layer1.2/relu_1/Relu,284.94640000000004
/layer1/layer1.2/conv3/Conv,772.8618
/layer1/layer1.2/Add,802.5143
/layer1/layer1.2/relu_2/Relu,565.1183000000001
/layer2/layer2.0/conv1/Conv,1405.0651
/layer2/layer2.0/relu/Relu,564.7676
/layer2/layer2.0/conv2/Conv,3376.0326
/layer2/layer2.0/relu_1/Relu,143.9536
/layer2/layer2.0/conv3/Conv,730.8796
/layer2/layer2.0/downsample/downsample.0/Conv,755.0814
/layer2/layer2.0/Add,407.5545
/layer2/layer2.0/relu_2/Relu,283.536
/layer2/layer2.1/conv1/Conv,680.9585
/layer2/layer2.1/relu/Relu,143.6993
/layer2/layer2.1/conv2/Conv,2981.225
/layer2/layer2.1/relu_1/Relu,144.8837
/layer2/layer2.1/conv3/Conv,721.8882
/layer2/layer2.1/Add,409.9511
/layer2/layer2.1/relu_2/Relu,284.18690000000004
/layer2/layer2.2/conv1/Conv,693.7514
/layer2/layer2.2/relu/Relu,143.6331
/layer2/layer2.2/conv2/Conv,3178.4892
/layer2/layer2.2/relu_1/Relu,143.7919
/layer2/layer2.2/conv3/Conv,725.7294
/layer2/layer2.2/Add,407.471
/layer2/layer2.2/relu_2/Relu,284.26759999999996
/layer2/layer2.3/conv1/Conv,700.5166999999999
/layer2/layer2.3/relu/Relu,143.5732
/layer2/layer2.3/conv2/Conv,2973.9892
/layer2/layer2.3/relu_1/Relu,143.34789999999998
/layer2/layer2.3/conv3/Conv,726.2593
/layer2/layer2.3/Add,407.48359999999997
/layer2/layer2.3/relu_2/Relu,284.3347
/layer3/layer3.0/conv1/Conv,1323.1218999999999
/layer3/layer3.0/relu/Relu,284.03040000000004
/layer3/layer3.0/conv2/Conv,4316.4036
/layer3/layer3.0/relu_1/Relu,75.46
/layer3/layer3.0/conv3/Conv,691.0669
/layer3/layer3.0/downsample/downsample.0/Conv,712.7844
/layer3/layer3.0/Add,212.07229999999998
/layer3/layer3.0/relu_2/Relu,147.57629999999997
/layer3/layer3.1/conv1/Conv,711.9562
/layer3/layer3.1/relu/Relu,75.5594
/layer3/layer3.1/conv2/Conv,4147.9747
/layer3/layer3.1/relu_1/Relu,76.0301
/layer3/layer3.1/conv3/Conv,679.5208
/layer3/layer3.1/Add,212.1365
/layer3/layer3.1/relu_2/Relu,147.6741
/layer3/layer3.2/conv1/Conv,714.6045
/layer3/layer3.2/relu/Relu,76.60210000000001
/layer3/layer3.2/conv2/Conv,4292.155
/layer3/layer3.2/relu_1/Relu,75.5868
/layer3/layer3.2/conv3/Conv,684.6541
/layer3/layer3.2/Add,212.1738
/layer3/layer3.2/relu_2/Relu,147.9864
/layer3/layer3.3/conv1/Conv,711.2117
/layer3/layer3.3/relu/Relu,76.3623
/layer3/layer3.3/conv2/Conv,4203.4733
/layer3/layer3.3/relu_1/Relu,75.6738
/layer3/layer3.3/conv3/Conv,666.8629
/layer3/layer3.3/Add,212.382
/layer3/layer3.3/relu_2/Relu,147.7132
/layer3/layer3.4/conv1/Conv,723.4226
/layer3/layer3.4/relu/Relu,75.3338
/layer3/layer3.4/conv2/Conv,4111.263
/layer3/layer3.4/relu_1/Relu,75.6858
/layer3/layer3.4/conv3/Conv,695.712
/layer3/layer3.4/Add,212.091
/layer3/layer3.4/relu_2/Relu,147.8017
/layer3/layer3.5/conv1/Conv,724.1111999999999
/layer3/layer3.5/relu/Relu,75.4797
/layer3/layer3.5/conv2/Conv,4008.9624
/layer3/layer3.5/relu_1/Relu,75.5617
/layer3/layer3.5/conv3/Conv,685.5355
/layer3/layer3.5/Add,212.1223
/layer3/layer3.5/relu_2/Relu,147.8969
/layer3/layer3.6/conv1/Conv,718.6681
/layer3/layer3.6/relu/Relu,75.5827
/layer3/layer3.6/conv2/Conv,4257.084
/layer3/layer3.6/relu_1/Relu,75.4688
/layer3/layer3.6/conv3/Conv,686.1476
/layer3/layer3.6/Add,211.9976
/layer3/layer3.6/relu_2/Relu,147.86589999999998
/layer3/layer3.7/conv1/Conv,718.048
/layer3/layer3.7/relu/Relu,75.38589999999999
/layer3/layer3.7/conv2/Conv,4449.758599999999
/layer3/layer3.7/relu_1/Relu,75.55930000000001
/layer3/layer3.7/conv3/Conv,675.424
/layer3/layer3.7/Add,211.6349
/layer3/layer3.7/relu_2/Relu,147.6587
/layer3/layer3.8/conv1/Conv,722.8963
/layer3/layer3.8/relu/Relu,75.9635
/layer3/layer3.8/conv2/Conv,4354.8456
/layer3/layer3.8/relu_1/Relu,75.8034
/layer3/layer3.8/conv3/Conv,677.1083000000001
/layer3/layer3.8/Add,211.6768
/layer3/layer3.8/relu_2/Relu,147.7872
/layer3/layer3.9/conv1/Conv,726.8065
/layer3/layer3.9/relu/Relu,75.4849
/layer3/layer3.9/conv2/Conv,4321.6428
/layer3/layer3.9/relu_1/Relu,76.51689999999999
/layer3/layer3.9/conv3/Conv,676.5574
/layer3/layer3.9/Add,211.6271
/layer3/layer3.9/relu_2/Relu,147.7659
/layer3/layer3.10/conv1/Conv,719.6016999999999
/layer3/layer3.10/relu/Relu,75.3686
/layer3/layer3.10/conv2/Conv,4371.3697
/layer3/layer3.10/relu_1/Relu,75.5437
/layer3/layer3.10/conv3/Conv,696.913
/layer3/layer3.10/Add,211.8088
/layer3/layer3.10/relu_2/Relu,148.24970000000002
/layer3/layer3.11/conv1/Conv,720.2515
/layer3/layer3.11/relu/Relu,75.5024
/layer3/layer3.11/conv2/Conv,4464.9011
/layer3/layer3.11/relu_1/Relu,75.5672
/layer3/layer3.11/conv3/Conv,670.1408
/layer3/layer3.11/Add,211.8259
/layer3/layer3.11/relu_2/Relu,147.7706
/layer3/layer3.12/conv1/Conv,726.733
/layer3/layer3.12/relu/Relu,75.6724
/layer3/layer3.12/conv2/Conv,4297.2058
/layer3/layer3.12/relu_1/Relu,76.1584
/layer3/layer3.12/conv3/Conv,676.1175
/layer3/layer3.12/Add,211.5341
/layer3/layer3.12/relu_2/Relu,147.7181
/layer3/layer3.13/conv1/Conv,719.0773
/layer3/layer3.13/relu/Relu,75.38839999999999
/layer3/layer3.13/conv2/Conv,4209.1239000000005
/layer3/layer3.13/relu_1/Relu,75.48389999999999
/layer3/layer3.13/conv3/Conv,676.6179000000001
/layer3/layer3.13/Add,211.0698
/layer3/layer3.13/relu_2/Relu,147.56429999999997
/layer3/layer3.14/conv1/Conv,722.9218000000001
/layer3/layer3.14/relu/Relu,75.48339999999999
/layer3/layer3.14/conv2/Conv,4331.9079
/layer3/layer3.14/relu_1/Relu,75.669
/layer3/layer3.14/conv3/Conv,688.407
/layer3/layer3.14/Add,211.7823
/layer3/layer3.14/relu_2/Relu,147.8109
/layer3/layer3.15/conv1/Conv,724.0008
/layer3/layer3.15/relu/Relu,75.4075
/layer3/layer3.15/conv2/Conv,4211.9028
/layer3/layer3.15/relu_1/Relu,75.941
